mechanism,kappa,cohort_replicate,unit_index,family,phi,lambda,neff_p,neff_var,threshold_calibration_max_error,theta_obs,theta_native_null_median,delta_theta,p_native,native_reject_005,delta_positive,native_null_valid_fraction,native_spectral_error_median,native_count_exact_fraction,native_group_count_exact_fraction,injection_monthly_multiset_exact,injection_monthly_event_count_exact,annual_count_mean,annual_count_sd,annual_count_ac1,monthly_indicator_ac1,monthly_indicator_ac12
baseline,0.0,1,2,tinnov,0.5,4.0,4.964583905619269,6.206923406679964,,0.8122725204731575,0.8466193146190597,0.0343467941459022,0.4510978043912175,False,True,1.0,0.0067131963443217,1.0,1.0,True,True,3.099601593625498,1.4372810211307456,0.0146690438638413,0.4924266220141382,0.4842241954130383
baseline,0.0,1,3,tinnov,0.8,4.0,4.964583905619269,6.206923406679964,,1.0,1.0,0.0,1.0,False,False,1.0,0.0059737482288421,1.0,1.0,True,True,3.0358565737051797,1.8900845180586483,0.1729534415073879,0.611486826794491,0.5041583684277555
baseline,0.0,1,4,gaussian,0.2,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.9371127633209416,0.9212016979455696,-0.0159110653753721,0.5409181636726547,False,False,1.0,0.0053042213809862,1.0,1.0,True,True,3.00398406374502,1.2025802537370662,-0.1581931021661773,0.4373277272483272,0.4456228654107647
baseline,0.0,1,5,periodic,0.8,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.744432139780977,0.98342849928032,0.2389963594993429,0.0858283433133732,False,True,1.0,0.0057515476976482,1.0,1.0,True,True,3.0677290836653386,1.861594019419434,0.0956023846329401,0.6026478016301228,0.4717974169779909
baseline,0.0,1,6,gaussian,0.8,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,1.0,0.9979616658150414,-0.0020383341849585,1.0,False,False,1.0,0.0055719539209311,1.0,1.0,True,True,2.908366533864542,1.8476780198011,0.1096304963168953,0.5987628308829219,0.4876495718370468
baseline,0.0,1,7,tinnov,0.2,4.0,4.964583905619269,6.206923406679964,,1.0,1.0,0.0,1.0,False,False,1.0,0.0058410173550237,1.0,1.0,True,True,2.944223107569721,1.2548219719540734,0.0262052791088614,0.4570216165180307,0.4410554749398191
baseline,0.0,2,0,periodic,0.2,4.0,4.964583905619269,6.206923406679964,2.775557561562892e-17,0.6502533248891703,0.9958262056044314,0.345572880715261,0.0638722554890219,False,True,1.0,0.0045891577211975,1.0,1.0,True,True,3.1115537848605577,1.1446680376554146,0.0740525276033131,0.4462744413288275,0.5179740206655112
baseline,0.0,2,1,tinnov,0.2,4.0,4.964583905619269,6.206923406679964,,0.9247465935526752,0.9687663541369244,0.044019760584249,0.4231536926147705,False,True,1.0,0.0057847982385664,1.0,1.0,True,True,3.103585657370518,1.2454007385716963,-0.0064350064350064,0.4423598602400226,0.4801086347864152
baseline,0.0,2,2,gaussian,0.2,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,1.0,1.0,0.0,1.0,False,False,1.0,0.005182747504974,1.0,1.0,True,True,2.904382470119522,1.23640846549886,-0.1166375004981939,0.4195593114420171,0.442072999415959
baseline,0.0,2,3,periodic,0.8,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,1.0,1.0,0.0,1.0,False,False,1.0,0.0056834127970809,1.0,1.0,True,True,3.055776892430279,1.9650523583202928,0.0352503097246385,0.6187064157411312,0.4459749887770025
baseline,0.0,2,4,gaussian,0.5,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,1.0,0.809832432744055,-0.1901675672559449,1.0,False,False,1.0,0.0051507546695569,1.0,1.0,True,True,3.195219123505976,1.3906836619455982,0.0944420607940856,0.5231063493899202,0.5064009757540434
baseline,0.0,2,5,gaussian,0.8,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.7115666178623719,1.0,0.2884333821376281,0.0439121756487025,True,True,1.0,0.005979845988961,1.0,1.0,True,True,2.912350597609562,1.814145077753456,0.0558359404748145,0.5955383901812475,0.4603907768353548
baseline,0.0,2,6,periodic,0.5,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,1.0,1.0,0.0,1.0,False,False,1.0,0.005266285645745,1.0,1.0,True,True,2.9760956175298805,1.416826280102385,-0.0106354833485888,0.5052547294324681,0.469027984229965
baseline,0.0,2,7,tinnov,0.8,4.0,4.964583905619269,6.206923406679964,,0.9533426183844012,0.942055345742698,-0.011287272641703,0.5229540918163673,False,False,1.0,0.0060745710613279,1.0,1.0,True,True,2.98804780876494,1.7204698508472858,0.1045562171205994,0.5900600061023153,0.5053252955240531
baseline,0.0,3,0,gaussian,0.8,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,1.0,0.9748445033587952,-0.0251554966412048,1.0,False,False,1.0,0.0070877070355796,1.0,1.0,True,True,3.1274900398406373,1.8765912968249432,0.2048924648641815,0.5942471116692318,0.511350859491852
baseline,0.0,3,1,tinnov,0.5,4.0,4.964583905619269,6.206923406679964,,1.0,0.976621744857819,-0.0233782551421809,1.0,False,False,1.0,0.0070682803844587,1.0,1.0,True,True,2.9243027888446216,1.5532535612225036,0.1767575025572811,0.5101568036695551,0.4703944614162716
baseline,0.0,3,2,periodic,0.2,4.0,4.964583905619269,6.206923406679964,2.775557561562892e-17,1.0,0.9932612677922572,-0.0067387322077427,1.0,False,False,1.0,0.0050172566355212,1.0,1.0,True,True,3.047808764940239,1.1832602250738848,-0.0190566447060435,0.4357049895050256,0.46031396982469
baseline,0.0,3,3,gaussian,0.5,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.8630371783997738,0.8826509552878561,0.0196137768880823,0.467065868263473,False,True,1.0,0.0050014344916159,1.0,1.0,True,True,3.0278884462151394,1.475975983237397,0.0145514827776754,0.5191490124717878,0.4889896335343883
baseline,0.0,3,4,gaussian,0.2,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.8610590440487348,0.9808660372174616,0.1198069931687267,0.2954091816367265,False,True,1.0,0.0047190593105377,1.0,1.0,True,True,3.143426294820717,1.2187719202424754,-0.1290677195944952,0.4298203580604379,0.4906214913856758
baseline,0.0,3,5,periodic,0.8,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,1.0,1.0,0.0,1.0,False,False,1.0,0.0059550775504888,1.0,1.0,True,True,3.203187250996016,1.906831344845702,0.0679824561403509,0.6156679678967679,0.4946398886291318
baseline,0.0,3,6,tinnov,0.8,4.0,4.964583905619269,6.206923406679964,,1.0,1.0,0.0,1.0,False,False,1.0,0.0061866438267711,1.0,1.0,True,True,3.091633466135458,1.9029149690927205,0.1430311087192995,0.6123049793600174,0.4879133393578371
baseline,0.0,3,7,periodic,0.5,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.7809062420056281,0.9324636076503882,0.15155736564476,0.279441117764471,False,True,1.0,0.0051207337180767,1.0,1.0,True,True,3.043824701195219,1.4261612704285336,-0.0479399313337189,0.5221314397868606,0.4504399901814334
baseline,0.0,4,0,tinnov,0.2,4.0,4.964583905619269,6.206923406679964,,0.8842292245906703,1.0,0.1157707754093296,0.1217564870259481,False,True,1.0,0.0064716367269067,1.0,1.0,True,True,3.0199203187251,1.2543158932999132,-0.0892305817354566,0.4234807079563687,0.44291824794619
