mechanism,kappa,cohort_replicate,n_units,positive_units,sign_gate_6of8,aggregate_stat_mean_delta,aggregate_p,aggregate_reject_005,full_gate_pass,mean_delta_theta,median_delta_theta,mean_theta_obs,mean_theta_null_center,unit_native_reject_fraction,unit_positive_fraction,native_null_valid_fraction_min,native_spectral_error_median,native_count_exact_fraction_min,native_group_count_exact_fraction_min,injection_multiset_exact_all,injection_event_count_exact_all
baseline,0.0,44,8,4,False,0.1261521766491633,0.0558882235528942,False,False,0.1261521766491633,0.0658796896503296,0.8363562682186763,0.9625084448678396,0.125,0.5,1.0,0.0056397110403398,1.0,1.0,True,True
baseline,0.0,45,8,6,True,0.0962879025944417,0.1976047904191616,False,False,0.0962879025944417,0.1033730583548913,0.8467014904995851,0.9429893930940269,0.125,0.75,1.0,0.005565216199133,1.0,1.0,True,True
baseline,0.0,46,8,3,False,0.0496247018547281,0.5349301397205589,False,False,0.0496247018547281,0.0,0.8947561598135715,0.9443808616682996,0.0,0.375,1.0,0.0054501745197472,1.0,1.0,True,True
baseline,0.0,47,8,5,False,0.0822689539216231,0.2594810379241516,False,False,0.0822689539216231,0.0118075247020288,0.8674818044208338,0.9497507583424568,0.0,0.625,1.0,0.0053822943044815,1.0,1.0,True,True
baseline,0.0,48,8,4,False,0.0686062849163105,0.3952095808383233,False,False,0.0686062849163105,0.0240542042120036,0.9079974326251962,0.9766037175415068,0.0,0.5,1.0,0.005378648916858,1.0,1.0,True,True
baseline,0.0,49,8,1,False,-0.019630323715435,0.9700598802395208,False,False,-0.019630323715435,-0.0188025123141432,0.9768749962228288,0.9572446725073938,0.0,0.125,1.0,0.0056165596996917,1.0,1.0,True,True
baseline,0.0,50,8,4,False,0.048115491590893,0.4431137724550898,False,False,0.048115491590893,0.010109634103641,0.908086029925175,0.956201521516068,0.0,0.5,1.0,0.0056762349838989,1.0,1.0,True,True
baseline,0.0,51,8,5,False,0.1529409797795701,0.0259481037924151,True,False,0.1529409797795701,0.1955513431860117,0.7920767324508211,0.9450177122303912,0.125,0.625,1.0,0.005506798396459,1.0,1.0,True,True
baseline,0.0,52,8,4,False,0.0166279742397539,0.8143712574850299,False,False,0.0166279742397539,0.0013297872340425,0.950211249712424,0.966839223952178,0.0,0.5,1.0,0.0056253402883678,1.0,1.0,True,True
baseline,0.0,53,8,5,False,0.0597739507815822,0.3193612774451098,False,False,0.0597739507815822,0.0756074514038877,0.878753452735459,0.9385274035170412,0.0,0.625,1.0,0.0057650513228795,1.0,1.0,True,True
baseline,0.0,54,8,2,False,0.0035957377077136,0.9021956087824352,False,False,0.0035957377077136,0.0,0.9733798921143004,0.9769756298220142,0.0,0.25,1.0,0.0054772690292572,1.0,1.0,True,True
baseline,0.0,55,8,5,False,0.1281649021701747,0.059880239520958,False,False,0.1281649021701747,0.1630853999841448,0.8204129051444871,0.9485778073146618,0.0,0.625,1.0,0.0052670415557084,1.0,1.0,True,True
baseline,0.0,56,8,4,False,0.064236308194707,0.4211576846307385,False,False,0.064236308194707,0.0044487743319072,0.9106047595671964,0.9748410677619036,0.0,0.5,1.0,0.0056550573825489,1.0,1.0,True,True
baseline,0.0,57,8,5,False,0.0275810095718875,0.7105788423153693,False,False,0.0275810095718875,0.0332932147936142,0.9172352429900064,0.944816252561894,0.0,0.625,1.0,0.0055776616383359,1.0,1.0,True,True
baseline,0.0,58,8,4,False,0.0401153580473416,0.5369261477045908,False,False,0.0401153580473416,0.0116758258876384,0.8924709589213539,0.9325863169686954,0.0,0.5,1.0,0.0054061552918627,1.0,1.0,True,True
baseline,0.0,59,8,4,False,0.0734383535784158,0.3512974051896207,False,False,0.0734383535784158,0.0125912084491874,0.886249488992294,0.9596878425707098,0.125,0.5,1.0,0.0055776997928898,1.0,1.0,True,True
baseline,0.0,60,8,3,False,0.0284504188452428,0.6487025948103793,False,False,0.0284504188452428,0.0,0.9148677906208644,0.9433182094661074,0.0,0.375,1.0,0.0055447767804826,1.0,1.0,True,True
baseline,0.0,61,8,4,False,0.0935391643658182,0.1596806387225549,False,False,0.0935391643658182,0.0214398717857214,0.8625225342647286,0.9560616986305468,0.25,0.5,1.0,0.0052543503580915,1.0,1.0,True,True
baseline,0.0,62,8,4,False,0.0729398067169831,0.3253493013972056,False,False,0.0729398067169831,0.0211451084682365,0.8839498609601737,0.9568896676771568,0.125,0.5,1.0,0.0056485032022717,1.0,1.0,True,True
baseline,0.0,63,8,2,False,-0.024813872549483,0.9740518962075848,False,False,-0.024813872549483,-0.0225548776001204,0.9672231943841368,0.9424093218346536,0.0,0.25,1.0,0.0055870090370761,1.0,1.0,True,True
baseline,0.0,64,8,3,False,0.0018596311050201,0.7624750499001997,False,False,0.0018596311050201,0.0,0.905045500155258,0.906905131260278,0.0,0.375,1.0,0.0055794962943923,1.0,1.0,True,True
baseline,0.0,65,8,5,False,0.1277868252529869,0.0998003992015968,False,False,0.1277868252529869,0.08385747953475,0.8260812432384221,0.953868068491409,0.125,0.625,1.0,0.0054459206950077,1.0,1.0,True,True
