mechanism,kappa,n_cohorts,full_gate_power,full_gate_power_ci_low,full_gate_power_ci_high,aggregate_p_power,sign_gate_rate,single_unit_native_rejection_rate,median_cohort_mean_delta,mean_cohort_mean_delta,median_cohort_median_delta,median_positive_units,median_aggregate_p,median_annual_count_ac1,median_monthly_indicator_ac1,median_monthly_indicator_ac12,distance_to_amazon_delta
baseline,0.0,150,0.04,0.01845916060207442,0.08451346421655606,0.06,0.10666666666666667,0.04083333333333333,0.04558850239348761,0.04986778386690809,0.0037054029982771,4.0,0.5449101796407185,0.02735698801775,0.510136646575381,0.4754991845074444,0.039420497606512395
history_feedback,0.25,150,0.06666666666666667,0.03661185666960744,0.11836235511605896,0.10666666666666667,0.22,0.0675,0.06727120443331515,0.0684088992118479,0.040550169767508706,4.0,0.30838323353293406,0.16856311627883086,0.5572115578840752,0.5023973764904784,0.017737795566684852
history_feedback,0.5,150,0.20666666666666667,0.1495889415499601,0.27839360181264483,0.22,0.4066666666666667,0.0825,0.059468325809674,0.062167226498697596,0.049693140003833805,5.0,0.25349301397205587,0.3020018060947204,0.5878748364228501,0.5380263565568546,0.025540674190326004
history_feedback,0.75,150,0.3,0.23240829378731656,0.3775798039599141,0.30666666666666664,0.49333333333333335,0.0975,0.06446747317457541,0.07090604369872419,0.06718295999839921,5.0,0.14770459081836324,0.4043623252391015,0.6064453078146932,0.5730304852050259,0.020541526825424594
history_feedback,1.0,150,0.30666666666666664,0.23847004316661521,0.3845184513223743,0.36666666666666664,0.4866666666666667,0.11333333333333333,0.07360905679069565,0.07378066469946146,0.0741241997723073,5.0,0.091816367265469,0.479911549436262,0.617709241884459,0.6048412144300845,0.011399943209304347
persistent_regime_alignment,0.2,150,0.06666666666666667,0.03661185666960744,0.11836235511605896,0.07333333333333333,0.16,0.0525,0.038372725845985695,0.03977648585654082,0.0135814372260856,4.0,0.45109780439121755,0.11272104606811781,0.5178248629438926,0.4889295146311622,0.04663627415401431
persistent_regime_alignment,0.4,150,0.09333333333333334,0.05641186747708652,0.1505639312756158,0.11333333333333333,0.22,0.07083333333333333,0.01833201913317585,0.019157170800186203,0.02292439469989395,4.5,0.36127744510978044,0.3789986080141944,0.5534101790715918,0.5504853353216537,0.06667698086682415
persistent_regime_alignment,0.6,150,0.10666666666666667,0.06673036965207342,0.16624622258414684,0.14,0.26666666666666666,0.08,0.0098687206449572,0.015028629327928863,0.0170695087985883,4.0,0.3393213572854291,0.6313168316651365,0.6091839866265647,0.6639175924188943,0.0751402793550428
persistent_regime_alignment,0.8,150,0.08,0.04635364151865291,0.13462136375053146,0.10666666666666667,0.20666666666666667,0.08916666666666667,0.004935144899911851,0.0033287582781955085,0.0076381616184605,4.0,0.40019960079840317,0.7561476655311714,0.642714790323145,0.7611023825673509,0.08007385510008815
