mechanism,amazon_delta_reference,closest_kappa,closest_median_cohort_mean_delta,absolute_delta_distance,gate_power_at_closest_grid_point,power_ci_low,power_ci_high,note
persistent_regime_alignment,0.085009,0.0,0.04558850239348761,0.039420497606512395,0.04,0.01845916060207442,0.08451346421655606,descriptive nearest-grid comparison only; not a universal power-at-Delta mapping
history_feedback,0.085009,1.0,0.07360905679069565,0.011399943209304347,0.30666666666666664,0.23847004316661521,0.3845184513223743,descriptive nearest-grid comparison only; not a universal power-at-Delta mapping
