statistic,obs_stat,p_oracle,p_native,p_index,rej_oracle,rej_native,rej_index,null_mean_oracle,null_sd_oracle,null_mean_native,null_sd_native,null_mean_index,null_sd_index,wasserstein_native_oracle,wasserstein_index_oracle,wasserstein_native_oracle_scaled,wasserstein_index_oracle_scaled,phi,rep,condition,condition_type,lambda_value,tau,native_spectral_error_median,index_spectral_error_median
ntv,1.1256415708351282,0.548,0.752,0.688,False,False,False,1.1244630901141857,0.03762617176668356,1.1060180369495414,0.029246556372093963,1.116989490193981,0.01806513236392706,0.01910238719580211,0.015976902476275177,0.5076888319719121,0.4246220576291015,0.2,0,mean_raw,mean_raw,,,0.00021239145500468392,0.00017822820751137096
ferro_segers,0.8311118578255675,0.1,0.16,0.204,False,False,False,0.9575340599747925,0.08611485088266323,0.932223625668727,0.11075899262628551,0.921704844115583,0.11954726341823567,0.02531043430606541,0.03582921585920948,0.2939148595931778,0.41606314697135094,0.2,0,mean_raw,mean_raw,,,0.00021239145500468392,0.00017822820751137096
ntv,1.133191552055713,0.576,0.764,0.56,False,False,False,1.1310737692565238,0.0376709596935011,1.111610707341308,0.030121232455319006,1.1306692008357244,0.018108353110111573,0.020004515287809714,0.01584870651708327,0.5310328022054835,0.42071416937693384,0.2,0,mean_cubic,mean_cubic,,,0.00021239145500468392,0.00017605210911802687
ferro_segers,0.7950694444444445,0.052,0.116,0.1,False,False,False,0.9697575669127332,0.07113766028456543,0.945436663711035,0.09721661469572927,0.9415250099068665,0.09825048312700228,0.024320903201698142,0.028232557005866563,0.3418850592556667,0.3968721615657651,0.2,0,mean_cubic,mean_cubic,,,0.00021239145500468392,0.00017605210911802687
ntv,1.1176470170675674,0.608,0.68,0.744,False,False,False,1.1059333400479485,0.04300471706455841,1.0998232681351061,0.03867651374949516,1.1055494121931502,0.020194066753458306,0.006649203359751395,0.017909668248413738,0.15461567506117183,0.41645822762949136,0.2,0,count_lam0_raw,hard_raw,0.0,0.0,0.00021239145500468392,0.01473185451724899
ntv,1.0718402132911344,0.256,0.188,0.484,False,False,False,1.10465253850899,0.04825081581094811,1.1095322664469909,0.04298768527729251,1.0745372181413761,0.0234500834287248,0.007051031593212013,0.032019459409803094,0.14613289899260384,0.6636045188387857,0.2,0,count_lam4_raw,hard_raw,4.0,0.0,0.00021239145500468392,0.027365216013483698
ntv,1.1345838583806565,0.56,0.78,0.632,False,False,False,1.1318420695321996,0.03771756265358817,1.1124548415746431,0.030527861553700783,1.1280734365359777,0.018693503637741287,0.019963984631387568,0.01490844303322155,0.5293020870607168,0.39526528185678694,0.2,0,soft_lam0_tau2_cubic,soft,0.0,2.0,0.00021239145500468392,0.0001516737152725898
ferro_segers,1.0,1.0,1.0,1.0,False,False,False,0.9644110029167076,0.07113566118083456,0.9430243833607428,0.09272973039400535,0.952001622488505,0.08224293471863542,0.021386619555964582,0.012938001050099058,0.3006455440344819,0.18187784910312785,0.2,0,soft_lam0_tau2_cubic,soft,0.0,2.0,0.00021239145500468392,0.0001516737152725898
ntv,1.1351882345712923,0.536,0.76,0.74,False,False,False,1.132305168292418,0.03815346310923323,1.1138448118869324,0.03148191081578644,1.1226310823838554,0.018965346844222252,0.019154216717788476,0.01593522216958133,0.5020308815205062,0.41766122577022285,0.2,0,soft_lam0_tau1_cubic,soft,0.0,1.0,0.00021239145500468392,0.00015767051426470382
ferro_segers,1.0,1.0,1.0,1.0,False,False,False,0.9631473023464511,0.0789255923332411,0.9431138403408053,0.09192764632327684,0.9420863412080182,0.10442310082903546,0.020728140542917592,0.021515124994422118,0.26262888792014194,0.2726001080052787,0.2,0,soft_lam0_tau1_cubic,soft,0.0,1.0,0.00021239145500468392,0.00015767051426470382
ntv,1.128982353366364,0.488,0.672,0.728,False,False,False,1.1318673791686424,0.039112387736045154,1.1157131577853852,0.03306421345759147,1.118100623082207,0.018303963991069823,0.01673671126752913,0.01922348485051096,0.42791330921750215,0.4914935130077727,0.2,0,soft_lam0_tau0.5_cubic,soft,0.0,0.5,0.00021239145500468392,0.00020609306639563424
ferro_segers,1.0,1.0,1.0,1.0,False,False,False,0.9684163477639363,0.06837249262271591,0.9488822821415834,0.08789028539534186,0.9431768856976909,0.09519426075538892,0.01954619375098912,0.02523946206624536,0.285878033712276,0.3691464373767743,0.2,0,soft_lam0_tau0.5_cubic,soft,0.0,0.5,0.00021239145500468392,0.00020609306639563424
ntv,1.125137797733607,0.456,0.584,0.676,False,False,False,1.1304809579410942,0.03969011432480005,1.1175899421647661,0.033887324229574654,1.1148711479649578,0.018745319959475332,0.013324749925557114,0.02049534735689256,0.33571961563313635,0.5163841854717512,0.2,0,soft_lam0_tau0.25_cubic,soft,0.0,0.25,0.00021239145500468392,0.00018139043842909663
ferro_segers,1.0,1.0,1.0,1.0,False,False,False,0.9637856950681712,0.07891522151673114,0.9543516348856724,0.07916880125586954,0.9445665432781027,0.0991284559725333,0.011834223701970134,0.019219151790068546,0.14996123022300725,0.24354175811308867,0.2,0,soft_lam0_tau0.25_cubic,soft,0.0,0.25,0.00021239145500468392,0.00018139043842909663
ntv,1.126690932400612,0.472,0.592,0.68,False,False,False,1.1297908714526488,0.04096899369947103,1.119348695408223,0.034987559891725604,1.1189617469983841,0.016859427277367122,0.010851571385675565,0.02165122446819304,0.2648727831900756,0.5284783079373655,0.2,0,soft_lam0_tau0.1_cubic,soft,0.0,0.1,0.00021239145500468392,0.0002008748512649561
ferro_segers,1.0,1.0,1.0,1.0,False,False,False,0.962072259709971,0.07945217492169647,0.9527825173714717,0.08491752807887724,0.9543613745896018,0.08286564400405338,0.00999787119029254,0.008913821875607787,0.1258350850703064,0.11219103673867632,0.2,0,soft_lam0_tau0.1_cubic,soft,0.0,0.1,0.00021239145500468392,0.0002008748512649561
ntv,1.1218437675724684,0.592,0.652,0.544,False,False,False,1.1128176795006608,0.042714685127981565,1.1064858039057488,0.038729256486942434,1.1196422592850506,0.018851737057179997,0.007253870659451607,0.019488066413368543,0.16982147094652786,0.45623809130228815,0.2,0,count_lam0_cubic,hard,0.0,0.0,0.00021239145500468392,0.003029511339479927
ferro_segers,1.0,1.0,1.0,1.0,False,False,False,0.9438095110989169,0.09193710537100756,0.9329019011828096,0.10608803750457718,0.955835724635937,0.07678327167963216,0.010907609916107189,0.012026213537020134,0.11864208550062652,0.13080913836137167,0.2,0,count_lam0_cubic,hard,0.0,0.0,0.00021239145500468392,0.003029511339479927
ntv,1.1343661607823015,0.524,0.684,0.776,False,False,False,1.1348803960889764,0.038359247521086104,1.1216005329711398,0.031173349252177948,1.1209687635111878,0.018500174078314956,0.01403357185505556,0.01858183924078554,0.36584585887252596,0.4844161562494439,0.2,0,soft_lam4_tau2_cubic,soft,4.0,2.0,0.00021239145500468392,0.0002042986086802959
ferro_segers,1.0,1.0,1.0,1.0,False,False,False,0.9659839737674525,0.07050568147375724,0.9406940698882453,0.09392442600484262,0.940572846934657,0.0980888851880467,0.025289903879207182,0.025411126832795568,0.3586931343769832,0.3604124703376392,0.2,0,soft_lam4_tau2_cubic,soft,4.0,2.0,0.00021239145500468392,0.0002042986086802959
