condition,condition_type,lambda_value,tau,statistic,phi,n,oracle_reject_rate,native_reject_rate,index_reject_rate,index_only_vs_native,native_only_vs_index,index_only_count,native_only_count,paired_exact_p,index_only_vs_oracle,oracle_only_vs_index,median_null_sd_oracle,median_null_sd_native,median_null_sd_index,median_sd_ratio_native_oracle,median_sd_ratio_index_oracle,median_wasserstein_native_oracle_scaled,median_wasserstein_index_oracle_scaled,median_index_spectral_error,median_native_spectral_error
mean_cubic,mean_cubic,,,ferro_segers,pooled,300,0.06333333333333334,0.04,0.03666666666666667,0.01,0.013333333333333334,3,4,1.0,0.006666666666666667,0.03333333333333333,0.08115491511146947,0.07771069657607975,0.07701395617037328,0.9494765187685001,0.9127932141761315,0.15279720360912138,0.16513685365947522,0.0001866393555734047,0.00023176472248336748
count_lam0_raw,hard_raw,0.0,0.0,ntv,pooled,300,0.05333333333333334,0.04,0.03666666666666667,0.03333333333333333,0.03666666666666667,10,11,1.0,0.02666666666666667,0.043333333333333335,0.04447593275135827,0.03600571950415628,0.020102963916542094,0.8102027384749688,0.4556072316482883,0.40153722296278294,0.691645779185108,0.013087359772008856,0.00023176472248336748
count_lam4_raw,hard_raw,4.0,0.0,ntv,pooled,300,0.03666666666666667,0.04,0.02666666666666667,0.02,0.03333333333333333,6,10,0.454498291015625,0.02,0.03,0.04416479096523965,0.038643862105956765,0.022826231123750287,0.8805259103224261,0.5222066236560585,0.3177965212023753,0.6071148198397468,0.0200475551794096,0.00023176472248336748
soft_lam0_tau2_cubic,soft,0.0,2.0,ntv,pooled,300,0.05333333333333334,0.03666666666666667,0.03666666666666667,0.02666666666666667,0.02666666666666667,8,8,1.0,0.03,0.04666666666666667,0.041245966948860416,0.026073568933583806,0.017595997151496703,0.6269701342351531,0.42770726167693074,0.5715147073636232,0.6977346965093629,0.00018845694867018444,0.00023176472248336748
soft_lam0_tau2_cubic,soft,0.0,2.0,ferro_segers,pooled,300,0.04666666666666667,0.043333333333333335,0.043333333333333335,0.006666666666666667,0.006666666666666667,2,2,1.0,0.006666666666666667,0.01,0.08055391051809203,0.07845325584909521,0.07685226856628746,0.9531939216321974,0.9241029628601085,0.1585615317609247,0.16166548235496142,0.00018845694867018444,0.00023176472248336748
soft_lam0_tau1_cubic,soft,0.0,1.0,ntv,pooled,300,0.04666666666666667,0.03666666666666667,0.03333333333333333,0.023333333333333334,0.02666666666666667,7,8,1.0,0.02666666666666667,0.04,0.04165834496851671,0.026807411314912453,0.017400750969885918,0.6428177193960853,0.4178942087684355,0.5574605069430644,0.7207876305231624,0.0001877146042165519,0.00023176472248336748
soft_lam0_tau1_cubic,soft,0.0,1.0,ferro_segers,pooled,300,0.05333333333333334,0.05333333333333334,0.04666666666666667,0.006666666666666667,0.013333333333333334,2,4,0.6875,0.01,0.016666666666666666,0.07864168010888545,0.07875388667511174,0.07681918388942482,0.9534166825779737,0.9359512943731596,0.16023321704310617,0.16818406668461322,0.0001877146042165519,0.00023176472248336748
soft_lam0_tau0.5_cubic,soft,0.0,0.5,ntv,pooled,300,0.04666666666666667,0.03666666666666667,0.04,0.03,0.02666666666666667,9,8,1.0,0.04,0.04666666666666667,0.04232672634081225,0.02885908765992417,0.017138980876364743,0.6852760900394255,0.4090032079429565,0.5294575491630293,0.7292038066387683,0.00020270249461883441,0.00023176472248336748
soft_lam0_tau0.5_cubic,soft,0.0,0.5,ferro_segers,pooled,300,0.043333333333333335,0.056666666666666664,0.043333333333333335,0.006666666666666667,0.02,2,6,0.2890625,0.013333333333333334,0.013333333333333334,0.07810438796377508,0.07787990235990776,0.07475216584092549,0.9436817135308018,0.924007959587068,0.15708845403207683,0.1536099578440514,0.00020270249461883441,0.00023176472248336748
soft_lam0_tau0.25_cubic,soft,0.0,0.25,ntv,pooled,300,0.056666666666666664,0.03666666666666667,0.043333333333333335,0.03666666666666667,0.03,11,9,0.8238029479980469,0.03666666666666667,0.05,0.042891641984759324,0.03152484960445415,0.017187636157074748,0.734165329374667,0.40585246442787304,0.48594252013932393,0.7182537726666804,0.00021497308404403717,0.00023176472248336748
soft_lam0_tau0.25_cubic,soft,0.0,0.25,ferro_segers,pooled,300,0.05,0.056666666666666664,0.06666666666666667,0.016666666666666666,0.006666666666666667,5,2,0.453125,0.02666666666666667,0.01,0.0781703387818245,0.07712726802056954,0.07348569618779188,0.9623990584633919,0.9255906061865788,0.1477462253110013,0.16158174593610708,0.00021497308404403717,0.00023176472248336748
soft_lam0_tau0.1_cubic,soft,0.0,0.1,ntv,pooled,300,0.06,0.03666666666666667,0.07333333333333333,0.06,0.023333333333333334,18,7,0.043285250663757324,0.056666666666666664,0.043333333333333335,0.04316725038744005,0.0336179065039747,0.017167873134214404,0.7785940974922365,0.3963272162232732,0.45070842799668487,0.7326918324773024,0.00023364058100956757,0.00023176472248336748
soft_lam0_tau0.1_cubic,soft,0.0,0.1,ferro_segers,pooled,300,0.043333333333333335,0.05,0.05333333333333334,0.016666666666666666,0.013333333333333334,5,4,1.0,0.016666666666666666,0.006666666666666667,0.07768075883330738,0.07629536202449294,0.07184030621212792,0.9545004501456253,0.920660773830511,0.1420207212785542,0.15677125672943537,0.00023364058100956757,0.00023176472248336748
count_lam0_cubic,hard,0.0,0.0,ntv,pooled,300,0.06,0.03666666666666667,0.15333333333333332,0.13666666666666666,0.02,41,6,1.7716986633331544e-07,0.12666666666666668,0.03333333333333333,0.0443216196095229,0.03600814178680283,0.01762235222584892,0.8107028241206707,0.4006200221511778,0.40939201400798564,0.8011522293466704,0.0011332553184195805,0.00023176472248336748
count_lam0_cubic,hard,0.0,0.0,ferro_segers,pooled,300,0.07666666666666666,0.07666666666666666,0.11,0.04,0.006666666666666667,12,2,0.012939453125,0.04,0.006666666666666667,0.09679413511745769,0.09310171778066961,0.0726273737516609,0.9737205440416956,0.7645147249621768,0.1299696810582966,0.235235389847885,0.0011332553184195805,0.00023176472248336748
soft_lam4_tau2_cubic,soft,4.0,2.0,ntv,pooled,300,0.04,0.05333333333333334,0.04,0.03,0.043333333333333335,9,13,0.5234670639038086,0.03333333333333333,0.03333333333333333,0.04124962542870794,0.026490010469921027,0.017694989049908516,0.6443261391318136,0.4308403933420415,0.5672929471530339,0.6861010802697436,0.0001877380496174008,0.00023176472248336748
soft_lam4_tau2_cubic,soft,4.0,2.0,ferro_segers,pooled,300,0.043333333333333335,0.043333333333333335,0.05333333333333334,0.01,0.0,3,0,0.25,0.016666666666666666,0.006666666666666667,0.0791267448062416,0.07809937910188305,0.07615551740547069,0.9514061287858353,0.9212275751710985,0.15151342406298685,0.15745180320537902,0.0001877380496174008,0.00023176472248336748
