condition,condition_type,lambda_value,tau,statistic,phi,n,oracle_reject_rate,native_reject_rate,index_reject_rate,index_only_vs_native,native_only_vs_index,index_only_count,native_only_count,paired_exact_p,index_only_vs_oracle,oracle_only_vs_index,median_null_sd_oracle,median_null_sd_native,median_null_sd_index,median_sd_ratio_native_oracle,median_sd_ratio_index_oracle,median_wasserstein_native_oracle_scaled,median_wasserstein_index_oracle_scaled,median_index_spectral_error,median_native_spectral_error
mean_raw,mean_raw,,,ntv,0.5,100,0.06,0.04,0.02,0.01,0.03,1,3,0.625,0.02,0.06,0.04125819186062769,0.026033547792326618,0.017781906980861045,0.627413370909166,0.43348812087618316,0.552875253179409,0.641366107517247,0.00018587797555523684,0.00023057324560968635
mean_raw,mean_raw,,,ferro_segers,0.5,100,0.05,0.02,0.04,0.02,0.0,2,0,0.5,0.03,0.04,0.09253273605817858,0.087157642673345,0.08772954324504158,0.9163230452660575,0.9369609721698003,0.18802972399892975,0.18168216576021545,0.00018587797555523684,0.00023057324560968635
mean_cubic,mean_cubic,,,ntv,0.5,100,0.06,0.06,0.02,0.0,0.04,0,4,0.125,0.02,0.06,0.041149531504357066,0.02621316855175513,0.017941791792159326,0.6344507303386463,0.43992893472592187,0.5398629055372117,0.6842238884659062,0.0001858031423203055,0.00023057324560968635
mean_cubic,mean_cubic,,,ferro_segers,0.5,100,0.05,0.03,0.03,0.0,0.0,0,0,1.0,0.01,0.03,0.07906189409498074,0.07301220344131193,0.06957671455510184,0.927333650814349,0.8822373631950811,0.15687031321432424,0.1781209036643854,0.0001858031423203055,0.00023057324560968635
count_lam0_raw,hard_raw,0.0,0.0,ntv,0.5,100,0.05,0.03,0.05,0.05,0.03,5,3,0.7265625,0.05,0.05,0.04367955582136652,0.03616446821991516,0.0202948939440296,0.8231023423983619,0.46165642557027764,0.45464096318951197,0.6669683444414078,0.012903179215651097,0.00023057324560968635
count_lam4_raw,hard_raw,4.0,0.0,ntv,0.5,100,0.03,0.04,0.01,0.01,0.04,1,4,0.375,0.01,0.03,0.04349848175740145,0.03913947088744546,0.022965637432430616,0.8946198907848277,0.5297694934564932,0.3380861806354071,0.6071148198397468,0.0200475551794096,0.00023057324560968635
soft_lam0_tau2_cubic,soft,0.0,2.0,ntv,0.5,100,0.07,0.05,0.03,0.01,0.03,1,3,0.625,0.03,0.07,0.04137999084601492,0.026576593350143445,0.017912272152652415,0.6331122066734971,0.4357014900335315,0.5523143761371595,0.6719365862904532,0.00018529265582694114,0.00023057324560968635
soft_lam0_tau2_cubic,soft,0.0,2.0,ferro_segers,0.5,100,0.04,0.04,0.04,0.01,0.01,1,1,1.0,0.01,0.01,0.07738117089123062,0.07184294790024176,0.06965840136321017,0.9071200647399695,0.8876726049024461,0.1374597745784913,0.16463032262245436,0.00018529265582694114,0.00023057324560968635
soft_lam0_tau1_cubic,soft,0.0,1.0,ntv,0.5,100,0.07,0.04,0.03,0.02,0.03,2,3,1.0,0.03,0.07,0.04166234730815503,0.027231072051505052,0.017753496299005647,0.6524245949509493,0.428167573417164,0.5542829004663394,0.6859827351069218,0.00018600045335203302,0.00023057324560968635
soft_lam0_tau1_cubic,soft,0.0,1.0,ferro_segers,0.5,100,0.05,0.05,0.04,0.0,0.01,0,1,1.0,0.01,0.02,0.07594889810657175,0.06959745079424756,0.06845577616824258,0.9401988746163429,0.8668610290495949,0.1376317815480655,0.16755899332262658,0.00018600045335203302,0.00023057324560968635
soft_lam0_tau0.5_cubic,soft,0.0,0.5,ntv,0.5,100,0.07,0.04,0.05,0.04,0.03,4,3,1.0,0.05,0.07,0.04224665266012806,0.02931286311995377,0.0175723321540903,0.6915592240369841,0.41638225372314286,0.5353922566472438,0.7132456092383437,0.00019417726306215091,0.00023057324560968635
soft_lam0_tau0.5_cubic,soft,0.0,0.5,ferro_segers,0.5,100,0.03,0.04,0.04,0.01,0.01,1,1,1.0,0.01,0.0,0.07570272768332234,0.07288954994822534,0.06592757337645022,0.9519378712842228,0.9036900596471517,0.13409155101324716,0.15574040309626935,0.00019417726306215091,0.00023057324560968635
soft_lam0_tau0.25_cubic,soft,0.0,0.25,ntv,0.5,100,0.07,0.03,0.06,0.05,0.02,5,2,0.453125,0.05,0.06,0.04245678834504711,0.03161641681321465,0.01758076845642245,0.7379311876170085,0.4137873902287738,0.49583788594392497,0.6926328577677823,0.00020910481088562454,0.00023057324560968635
soft_lam0_tau0.25_cubic,soft,0.0,0.25,ferro_segers,0.5,100,0.07,0.06,0.09,0.03,0.0,3,0,0.25,0.03,0.01,0.07383051622717862,0.07215829503737531,0.068273523287225,0.9621882404101085,0.9197150780565575,0.13555491076009904,0.1676345272712675,0.00020910481088562454,0.00023057324560968635
soft_lam0_tau0.1_cubic,soft,0.0,0.1,ntv,0.5,100,0.05,0.02,0.08,0.08,0.02,8,2,0.109375,0.08,0.05,0.0425674423993276,0.03356559981532222,0.017352337244375328,0.7864800830506907,0.40674965674509655,0.45847343867194523,0.6952030598722765,0.00022660169432420213,0.00023057324560968635
soft_lam0_tau0.1_cubic,soft,0.0,0.1,ferro_segers,0.5,100,0.03,0.04,0.06,0.03,0.01,3,1,0.625,0.03,0.0,0.07374271875655558,0.06989751320577473,0.06785450008197394,0.9660300827160888,0.9050186297131722,0.1437565582475469,0.16494089379840277,0.00022660169432420213,0.00023057324560968635
count_lam0_cubic,hard,0.0,0.0,ntv,0.5,100,0.06,0.02,0.17,0.17,0.02,17,2,0.000728607177734375,0.16,0.05,0.04361643552368348,0.03606462787135235,0.017817838130721846,0.8222255134812451,0.40900154383882814,0.41826873558706146,0.7406517224099256,0.0009332986633553099,0.00023057324560968635
count_lam0_cubic,hard,0.0,0.0,ferro_segers,0.5,100,0.08,0.07,0.13,0.07,0.01,7,1,0.0703125,0.05,0.0,0.08819794508726606,0.08458180435727748,0.06739735100001008,0.9580111862342096,0.7638588626219928,0.11985052888063133,0.21589943204183065,0.0009332986633553099,0.00023057324560968635
soft_lam4_tau2_cubic,soft,4.0,2.0,ntv,0.5,100,0.07,0.07,0.02,0.01,0.06,1,6,0.125,0.01,0.06,0.04127496707709461,0.026884681958394697,0.018022361259309373,0.6557284783701094,0.4373959886487517,0.5568302227927391,0.6559110386552849,0.00018879902367929655,0.00023057324560968635
soft_lam4_tau2_cubic,soft,4.0,2.0,ferro_segers,0.5,100,0.03,0.04,0.05,0.01,0.0,1,0,1.0,0.03,0.01,0.077127077635788,0.06830172052773838,0.06682679077501917,0.9173481338057741,0.8871806864885261,0.14084230265788855,0.16007859853515782,0.00018879902367929655,0.00023057324560968635
soft_lam4_tau1_cubic,soft,4.0,1.0,ntv,0.5,100,0.07,0.05,0.03,0.02,0.04,2,4,0.6875,0.02,0.06,0.041211840545096835,0.02966360887909398,0.017944438997585403,0.7164984162542243,0.436055727901575,0.5091508465140562,0.6892253740603002,0.0001915101262367662,0.00023057324560968635
soft_lam4_tau1_cubic,soft,4.0,1.0,ferro_segers,0.5,100,0.04,0.04,0.03,0.01,0.02,1,2,1.0,0.01,0.02,0.07605659030523375,0.06862563938708685,0.06528396159892946,0.9083077374529245,0.8415877705300732,0.1309071263437937,0.15904654123027623,0.0001915101262367662,0.00023057324560968635
soft_lam4_tau0.5_cubic,soft,4.0,0.5,ntv,0.5,100,0.06,0.05,0.02,0.0,0.03,0,3,0.25,0.01,0.05,0.04115448754240838,0.032898699297754255,0.017894141786897987,0.7964546159123136,0.4279364531299007,0.4785630526531239,0.6313139780685163,0.00018697039754445862,0.00023057324560968635
soft_lam4_tau0.5_cubic,soft,4.0,0.5,ferro_segers,0.5,100,0.06,0.06,0.08,0.02,0.0,2,0,0.5,0.03,0.01,0.0732168402131447,0.06891912619628537,0.0648745595626312,0.9744676266746124,0.8706242048406447,0.12631612377471646,0.14415196537907088,0.00018697039754445862,0.00023057324560968635
soft_lam4_tau0.25_cubic,soft,4.0,0.25,ntv,0.5,100,0.07,0.04,0.01,0.01,0.04,1,4,0.375,0.01,0.07,0.04116241116234411,0.03519355779263175,0.01769877601922114,0.8496124731787852,0.4318322383395591,0.4046785663364018,0.6822447358331172,0.00018611959886576682,0.00023057324560968635
soft_lam4_tau0.25_cubic,soft,4.0,0.25,ferro_segers,0.5,100,0.02,0.01,0.02,0.01,0.0,1,0,1.0,0.01,0.01,0.07308634808608624,0.07042064364702494,0.06373089090605759,0.9553925077877805,0.8964429569987344,0.11356112312533986,0.16227792640121183,0.00018611959886576682,0.00023057324560968635
soft_lam4_tau0.1_cubic,soft,4.0,0.1,ntv,0.5,100,0.04,0.03,0.04,0.04,0.03,4,3,1.0,0.04,0.04,0.0414379194456164,0.03635238634269837,0.017810525460683253,0.8799038359626625,0.4282023833802121,0.3637317182357668,0.673546072208269,0.0002404530341284865,0.00023057324560968635
soft_lam4_tau0.1_cubic,soft,4.0,0.1,ferro_segers,0.5,100,0.04,0.04,0.05,0.01,0.0,1,0,1.0,0.01,0.0,0.07767469686258856,0.07422711348900804,0.06188787542970779,0.9615348018521286,0.8283311894750777,0.11200813202603446,0.1695678259049342,0.0002404530341284865,0.00023057324560968635
count_lam4_cubic,hard,4.0,0.0,ntv,0.5,100,0.03,0.04,0.15,0.15,0.04,15,4,0.0192108154296875,0.14,0.02,0.04330201519813819,0.03880763630055824,0.019133793898675328,0.898837753296788,0.4474994949266575,0.33009717038467057,0.7653878177596932,0.00285233230455086,0.00023057324560968635
count_lam4_cubic,hard,4.0,0.0,ferro_segers,0.5,100,0.03,0.03,0.28,0.25,0.0,25,0,5.960464477539063e-08,0.25,0.0,0.15464149383480125,0.15259920128179752,0.06423823868812634,0.9910764631122095,0.41176210577868,0.1314580652222428,0.6613076633889581,0.00285233230455086,0.00023057324560968635
mean_raw,mean_raw,,,ntv,0.8,100,0.05,0.06,0.07,0.05,0.04,5,4,1.0,0.06,0.04,0.04136750607059282,0.022041136948266177,0.016301466065478602,0.5298163529954306,0.3959220854476546,0.5704091270229323,0.7271690616496012,0.00018476589252953182,0.00024663750165454957
mean_raw,mean_raw,,,ferro_segers,0.8,100,0.03,0.04,0.05,0.01,0.0,1,0,1.0,0.02,0.0,0.11834077939686746,0.11435240641818159,0.11291342487643938,0.9422903921796608,0.9501516852632148,0.19853867282195609,0.19936036834957718,0.00018476589252953182,0.00024663750165454957
mean_cubic,mean_cubic,,,ntv,0.8,100,0.05,0.03,0.04,0.03,0.02,3,2,1.0,0.03,0.04,0.04138825068453972,0.02249591243406012,0.016578212841816087,0.5419110605075458,0.3977921781856066,0.6004581426904467,0.6994260138739623,0.0001880789117457856,0.00024663750165454957
mean_cubic,mean_cubic,,,ferro_segers,0.8,100,0.06,0.05,0.04,0.01,0.02,1,2,1.0,0.0,0.02,0.10190913828083323,0.09844388176859163,0.0962368684930022,0.9719193104943353,0.9320593298800482,0.17582435078678949,0.16849708346659,0.0001880789117457856,0.00024663750165454957
count_lam0_raw,hard_raw,0.0,0.0,ntv,0.8,100,0.09,0.04,0.05,0.04,0.03,4,3,1.0,0.02,0.06,0.048120444382244346,0.03342358252709811,0.017118205665737456,0.6879578211477986,0.35793028198477406,0.4862367022650168,0.8213255409287619,0.01073618162006309,0.00024663750165454957
count_lam4_raw,hard_raw,4.0,0.0,ntv,0.8,100,0.04,0.04,0.04,0.03,0.03,3,3,1.0,0.03,0.03,0.045955452263043,0.035887195216897934,0.0212397718426066,0.7817504714539819,0.4669698211104749,0.38978280219864,0.6523134163375143,0.01613016817499429,0.00024663750165454957
soft_lam0_tau2_cubic,soft,0.0,2.0,ntv,0.8,100,0.04,0.03,0.03,0.02,0.02,2,2,1.0,0.02,0.03,0.041724126680262895,0.022723885436155833,0.016383755845042335,0.5472909161235033,0.3899078680078911,0.6026090043486332,0.7033785745785273,0.000189827029394348,0.00024663750165454957
soft_lam0_tau2_cubic,soft,0.0,2.0,ferro_segers,0.8,100,0.05,0.05,0.05,0.01,0.01,1,1,1.0,0.01,0.01,0.10016078601168246,0.099018093224925,0.09624405561416938,0.9968946877446592,0.9608429247632251,0.1798207519922403,0.1766907247587061,0.000189827029394348,0.00024663750165454957
soft_lam0_tau1_cubic,soft,0.0,1.0,ntv,0.8,100,0.03,0.02,0.02,0.02,0.02,2,2,1.0,0.02,0.03,0.042692984198892704,0.023864288153843175,0.016186789357787657,0.5613204716555357,0.37889371804178723,0.5897731912900026,0.729571766856483,0.0001948506952243842,0.00024663750165454957
soft_lam0_tau1_cubic,soft,0.0,1.0,ferro_segers,0.8,100,0.07,0.06,0.06,0.02,0.02,2,2,1.0,0.01,0.02,0.0993534659813769,0.097814393456551,0.09477609467443726,0.977627878355605,0.9811249787540226,0.1886097691863708,0.18512590610118418,0.0001948506952243842,0.00024663750165454957
soft_lam0_tau0.5_cubic,soft,0.0,0.5,ntv,0.8,100,0.03,0.01,0.04,0.04,0.01,4,1,0.375,0.04,0.03,0.044074411003930114,0.026240069304382302,0.015934881620277588,0.5999530202112202,0.36063412908974507,0.5646340640166444,0.7456061274490919,0.0002346779884451672,0.00024663750165454957
soft_lam0_tau0.5_cubic,soft,0.0,0.5,ferro_segers,0.8,100,0.08,0.08,0.05,0.0,0.03,0,3,0.25,0.0,0.03,0.09977131208373852,0.09674497350387139,0.09343152906493059,0.9708169814340954,0.9450304255790583,0.17865982798597568,0.18745636280201122,0.0002346779884451672,0.00024663750165454957
soft_lam0_tau0.25_cubic,soft,0.0,0.25,ntv,0.8,100,0.06,0.03,0.02,0.02,0.03,2,3,1.0,0.02,0.06,0.04582647939938521,0.02926887414662352,0.015883641493048318,0.640458992070037,0.34566233658061984,0.5027693790404327,0.804522909446854,0.0003329254266063917,0.00024663750165454957
soft_lam0_tau0.25_cubic,soft,0.0,0.25,ferro_segers,0.8,100,0.05,0.05,0.05,0.01,0.01,1,1,1.0,0.01,0.01,0.0978285366987732,0.09568968987883592,0.09029089855857361,0.9793389217068844,0.9357119867350595,0.17089708491362526,0.18453774682093013,0.0003329254266063917,0.00024663750165454957
soft_lam0_tau0.1_cubic,soft,0.0,0.1,ntv,0.8,100,0.08,0.03,0.1,0.08,0.01,8,1,0.0390625,0.06,0.04,0.04705490940113405,0.03178754819589351,0.015712193322945406,0.6772548756145942,0.3326836947505868,0.504797733693745,0.8631962953100925,0.0004372279614334012,0.00024663750165454957
