scenario,n,annual_rejection_rate,native_rejection_rate,mechanistic_misattribution_rate,misattrib_ci_low,misattrib_ci_high,median_true_p_rmse_to_025,median_true_p_range,median_true_p_neff,median_annual_raw_offset,median_annual_clipped_offset,median_native_raw_offset,median_native_clipped_offset,median_annual_null_ceiling_fraction,median_native_null_ceiling_fraction,annual_ceiling_free_trajectory_fraction,native_ceiling_free_trajectory_fraction,median_runlen_obs,median_annual_null_runlen,median_native_null_runlen
absolute_lambda4,1350,0.20592592592592593,0.047407407407407405,0.15851851851851853,0.14000855515521812,0.17896635583388923,0.2976072282674339,0.7897184070772124,4.964583905619271,0.12611857177188315,0.0180781491919761,-0.01376859737266595,0.0,0.7248322147651006,0.436241610738255,0.0,0.0,1.1363636363636365,1.0869565217391304,1.1363636363636365
oracle_percentile,1350,0.07851851851851852,0.04296296296296296,0.03925925925925926,0.030139124727833852,0.0509940523550832,0.0,0.0,12.0,0.02749413899216995,0.0,-0.0062122380793194,0.0,0.7046979865771812,0.6040268456375839,0.0,0.0,1.1363636363636365,1.1363636363636365,1.1363636363636365
estimated_percentile_15y,1350,0.08222222222222222,0.04888888888888889,0.03851851851851852,0.029493581686412564,0.05016231754615547,0.10192144396405045,0.293688009797619,10.93287007203097,0.030336710771237452,0.0,-0.0095039953662896,0.0,0.7046979865771812,0.5973154362416108,0.0,0.0,1.1363636363636365,1.1363636363636365,1.1363636363636365
estimated_percentile_30y,1350,0.07555555555555556,0.0437037037037037,0.03481481481481481,0.02628141136229465,0.04598809861852834,0.0746603427771946,0.219925568722188,11.33865727600039,0.03375146161889895,0.0,-0.0064015594635143495,0.0,0.7046979865771812,0.610738255033557,0.0,0.0,1.1363636363636365,1.1363636363636365,1.1363636363636365
estimated_percentile_60y,1350,0.08296296296296296,0.047407407407407405,0.04,0.030785639181278565,0.051824815751987496,0.05332239939341765,0.1583683333333333,11.628519308217683,0.0261199352253071,0.0,-0.00842758369126935,0.0,0.7046979865771812,0.610738255033557,0.0,0.0,1.1363636363636365,1.1363636363636365,1.1363636363636365
