family,phi,replicate,scenario,p0_oracle_lambda0_indicator_identical,true_p_rmse_to_025,true_p_range,true_p_neff,theta_obs_raw,theta_obs_clipped,annual_null_raw_median,annual_null_clipped_median,native_null_raw_median,native_null_clipped_median,annual_raw_offset,annual_clipped_offset,native_raw_offset,native_clipped_offset,obs_raw_at_or_above_one,annual_null_ceiling_fraction,native_null_ceiling_fraction,annual_all_ceiling_free,native_all_ceiling_free,runlen_obs,annual_null_runlen_median,native_null_runlen_median,p_annual,p_native,annual_reject_005,native_reject_005,mechanistic_misattribution,native_only,annual_valid_fraction,native_valid_fraction,annual_spectral_error_median,native_spectral_error_median,native_count_exact_fraction,native_month_count_exact_fraction
gaussian,0.2,0,absolute_lambda4,True,0.2976072282674339,0.7897184070772124,4.964583905619271,1.133578431372549,1.0,1.136842105263158,1.0,1.064039408866995,1.0,0.0032636738906088,0.0,-0.0695390225055538,0.0,True,0.7583892617449665,0.6577181208053692,False,False,1.0416666666666667,1.1363636363636365,1.0869565217391304,1.0,1.0,False,False,False,False,1.0,1.0,0.0068960592213034,0.0002208107398246,1.0,1.0
gaussian,0.2,0,oracle_percentile,True,0.0,0.0,12.0,0.7027416356877323,0.7027416356877323,1.072098899115683,1.0,1.0763417119565215,1.0,0.3693572634279507,0.2972583643122677,0.3736000762687894,0.2972583643122677,False,0.6442953020134228,0.697986577181208,False,False,1.1363636363636365,1.1363636363636365,1.0869565217391304,0.0133333333333333,0.02,True,True,False,False,1.0,1.0,0.0027355443085355,0.0002208107398246,1.0,1.0
gaussian,0.2,0,estimated_percentile_15y,True,0.1153586917089743,0.375349654473633,10.423173765760538,0.9814814814814816,0.9814814814814816,1.1259981968057702,1.0,1.0187132225683628,1.0,0.1445167153242886,0.0185185185185184,0.0372317410868813,0.0185185185185184,False,0.7315436241610739,0.5234899328859061,False,False,1.25,1.0869565217391304,1.0869565217391304,0.2266666666666666,0.4466666666666666,False,False,False,False,1.0,1.0,0.0059397625260864,0.0002208107398246,1.0,1.0
gaussian,0.2,0,estimated_percentile_30y,True,0.0913530711499111,0.3218847741467401,10.955527202879082,0.9044571753616122,0.9044571753616122,1.1208710976837866,1.0,1.0635311335816924,1.0,0.2164139223221743,0.0955428246383878,0.1590739582200802,0.0955428246383878,False,0.8187919463087249,0.5906040268456376,False,False,1.1363636363636365,1.0869565217391304,1.0869565217391304,0.0666666666666666,0.28,False,False,False,False,1.0,1.0,0.0041608564949755,0.0002208107398246,1.0,1.0
gaussian,0.2,0,estimated_percentile_60y,True,0.0570346545493995,0.1875884648264028,11.37587569789174,0.9391507856904046,0.9391507856904046,1.1502125193199382,1.0,0.992091595845137,0.992091595845137,0.2110617336295336,0.0608492143095954,0.0529408101547324,0.0529408101547324,False,0.8187919463087249,0.4832214765100671,False,False,1.1363636363636365,1.0869565217391304,1.1363636363636365,0.1066666666666666,0.42,False,False,False,False,1.0,1.0,0.0077834833179987,0.0002208107398246,1.0,1.0
gaussian,0.2,1,absolute_lambda4,True,0.2976072282674339,0.7897184070772124,4.964583905619271,1.1009210268469527,1.0,1.111368843069874,1.0,1.0423592493297589,1.0,0.0104478162229213,0.0,-0.058561777517194,0.0,True,0.7651006711409396,0.5771812080536913,False,False,1.0416666666666667,1.0869565217391304,1.1363636363636365,1.0,1.0,False,False,False,False,1.0,1.0,0.0052336281126544,0.0002222762538109,1.0,1.0
gaussian,0.2,1,oracle_percentile,True,0.0,0.0,12.0,0.8540707489257213,0.8540707489257213,1.119417432018729,1.0,1.0461029037187977,1.0,0.2653466830930073,0.1459292510742786,0.1920321547930763,0.1459292510742786,False,0.7114093959731543,0.5637583892617449,False,False,1.25,1.0869565217391304,1.1363636363636365,0.08,0.1466666666666666,False,False,False,False,1.0,1.0,0.004706156580612,0.0002222762538109,1.0,1.0
gaussian,0.2,1,estimated_percentile_15y,True,0.1435572247974153,0.3503242189117982,11.027884617822528,0.9480463815195812,0.9480463815195812,1.0910009182736455,1.0,1.0422867063492065,1.0,0.1429545367540642,0.0519536184804186,0.0942403248296249,0.0519536184804186,False,0.697986577181208,0.6308724832214765,False,False,1.0869565217391304,1.0869565217391304,1.1363636363636365,0.2133333333333333,0.2733333333333333,False,False,False,False,1.0,1.0,0.0015130327466015,0.0002222762538109,1.0,1.0
gaussian,0.2,1,estimated_percentile_30y,True,0.0528369595458731,0.1748977143747264,11.591730627166305,0.8481308411214953,0.8481308411214953,1.1229997287767832,1.0,1.0348628347485305,1.0,0.2748688876552879,0.1518691588785047,0.1867319936270352,0.1518691588785047,False,0.7986577181208053,0.6241610738255033,False,False,1.25,1.0869565217391304,1.1363636363636365,0.0733333333333333,0.1333333333333333,False,False,False,False,1.0,1.0,0.0047962755431018,0.0002222762538109,1.0,1.0
gaussian,0.2,1,estimated_percentile_60y,True,0.077654061388958,0.3011997184623788,11.149852458439272,0.9888281805259416,0.9888281805259416,1.052512886597938,1.0,1.0703188671556645,1.0,0.0636847060719963,0.0111718194740583,0.0814906866297225,0.0111718194740583,False,0.6711409395973155,0.6241610738255033,False,False,1.25,1.1363636363636365,1.1363636363636365,0.2933333333333333,0.3333333333333333,False,False,False,False,1.0,1.0,0.0079780573301902,0.0002222762538109,1.0,1.0
gaussian,0.2,2,absolute_lambda4,True,0.2976072282674339,0.7897184070772124,4.964583905619271,1.2395931142410015,1.0,1.113125351320967,1.0,1.009848105491571,1.0,-0.1264677629200346,0.0,-0.2297450087494308,0.0,True,0.7651006711409396,0.5302013422818792,False,False,1.0416666666666667,1.1363636363636365,1.0869565217391304,1.0,1.0,False,False,False,False,1.0,1.0,0.0036257374082014,0.0002239441875419,1.0,1.0
