scenario,n,obs_raw_ge1,annual_null_ceiling_fraction,native_null_ceiling_fraction,annual_raw_offset,annual_clipped_offset,native_raw_offset,native_clipped_offset,annual_ceiling_free_fraction,native_ceiling_free_fraction
absolute_lambda4,1350,0.46074074074074073,0.710454884414616,0.4375988068605518,0.12611857177188315,0.0180781491919761,-0.01376859737266595,0.0,0.0,0.0
estimated_percentile_15y,1350,0.6081481481481481,0.6810986825751926,0.5863882674620929,0.030336710771237452,0.0,-0.0095039953662896,0.0,0.0,0.0
estimated_percentile_30y,1350,0.6037037037037037,0.6788018891374596,0.5936564752672135,0.03375146161889895,0.0,-0.0064015594635143495,0.0,0.0,0.0
estimated_percentile_60y,1350,0.6148148148148148,0.6811384538901317,0.5942779020631369,0.0261199352253071,0.0,-0.00842758369126935,0.0,0.0,0.0
oracle_percentile,1350,0.6088888888888889,0.6804175988068605,0.5929704200845141,0.02749413899216995,0.0,-0.0062122380793194,0.0,0.0,0.0
