family,phi,lambda,replicate,theta_obs_independent,theta_obs_raw_independent,p_annual_independent,p_native_independent,annual_reject_independent,native_reject_independent,annual_only_independent,native_only_independent,annual_spectral_error_median,native_spectral_error_median,native_month_exact_fraction,theta_obs,theta_abs_diff
gaussian,0.2,2.0,279,0.9994236311239193,0.9994236311239193,0.27,0.47,False,False,False,False,0.006286585079754912,0.00019766718995858391,1.0,0.9994236311239192,1.1102230246251565e-16
gaussian,0.2,2.0,256,1.0,1.00133202467751,1.0,1.0,False,False,False,False,0.0005714898991926417,0.00020112242332909612,1.0,1.0,0.0
gaussian,0.2,4.0,66,1.0,1.2675466163838256,1.0,1.0,False,False,False,False,0.022597401414797637,0.00019730795541658311,1.0,1.0,0.0
gaussian,0.2,4.0,56,0.7685559252217997,0.7685559252217997,0.09,0.09,False,False,False,False,0.014840288780734063,0.000206404426567659,1.0,0.7685559252217997,0.0
gaussian,0.2,4.0,152,0.850211608222491,0.850211608222491,0.15,0.19,False,False,False,False,0.004671867250066559,0.00020057746204279068,1.0,0.850211608222491,0.0
gaussian,0.2,4.0,182,1.0,1.13250407000407,1.0,1.0,False,False,False,False,0.0012512299240736437,0.00019801397797668643,1.0,1.0,0.0
gaussian,0.2,4.0,193,1.0,1.0822406257188866,1.0,1.0,False,False,False,False,0.012437632816661612,0.0001972072661822855,1.0,1.0,0.0
gaussian,0.2,4.0,187,0.6442043895747599,0.6442043895747599,0.01,0.05,True,False,True,False,0.0015329152826815294,0.0002020399244364683,1.0,0.6442043895747599,0.0
gaussian,0.2,4.0,216,1.0,1.0010544478527608,1.0,1.0,False,False,False,False,0.012264316166167846,0.00019786800222969296,1.0,1.0,0.0
gaussian,0.2,4.0,215,0.9516530797101449,0.9516530797101449,0.17,0.61,False,False,False,False,0.0004507335393719882,0.00019534207509865637,1.0,0.9516530797101448,1.1102230246251565e-16
gaussian,0.2,4.0,260,1.0,1.185483870967742,1.0,1.0,False,False,False,False,0.007649871249513444,0.0002016551093258327,1.0,1.0,0.0
