lambda,observable,block_years,n,annual_rejection_rate,native_rejection_rate,mechanistic_misattribution_rate,native_only_rate,median_null_gap,median_neff_p
0.0,count,50,2700,0.08518518518518518,0.05333333333333334,0.035925925925925924,0.004074074074074074,0.0,11.999999999999998
0.0,count,252,2700,0.08518518518518518,0.04296296296296296,0.04407407407407407,0.001851851851851852,0.0,11.999999999999998
0.0,maxrun,50,2700,0.1111111111111111,0.04962962962962963,0.06666666666666667,0.005185185185185185,0.0,11.999999999999998
0.0,maxrun,252,2700,0.1111111111111111,0.046296296296296294,0.06814814814814815,0.0033333333333333335,0.0,11.999999999999998
0.5,count,50,2700,0.09037037037037036,0.051111111111111114,0.04148148148148148,0.0022222222222222222,0.0,11.236774258134815
0.5,count,252,2700,0.09037037037037036,0.04888888888888889,0.04296296296296296,0.0014814814814814814,0.0,11.236774258134815
0.5,maxrun,50,2700,0.09185185185185185,0.05,0.046296296296296294,0.0044444444444444444,0.0,11.236774258134815
0.5,maxrun,252,2700,0.09185185185185185,0.04777777777777778,0.04777777777777778,0.003703703703703704,0.0,11.236774258134815
1.0,count,50,2700,0.1037037037037037,0.04888888888888889,0.05925925925925926,0.0044444444444444444,0.0,9.627156507492984
1.0,count,252,2700,0.1037037037037037,0.043333333333333335,0.06185185185185185,0.0014814814814814814,0.0,9.627156507492984
1.0,maxrun,50,2700,0.0874074074074074,0.05925925925925926,0.035555555555555556,0.007407407407407408,0.0,9.627156507492984
1.0,maxrun,252,2700,0.0874074074074074,0.05444444444444444,0.03666666666666667,0.003703703703703704,0.0,9.627156507492984
2.0,count,50,2700,0.13666666666666666,0.046296296296296294,0.09111111111111111,0.0007407407407407407,0.0,6.980894907413887
2.0,count,252,2700,0.13666666666666666,0.047407407407407405,0.09037037037037036,0.0011111111111111111,0.0,6.980894907413887
2.0,maxrun,50,2700,0.11222222222222222,0.05444444444444444,0.058888888888888886,0.0011111111111111111,0.0,6.980894907413887
2.0,maxrun,252,2700,0.11222222222222222,0.05037037037037037,0.06185185185185185,0.0,0.0,6.980894907413887
4.0,count,50,2700,0.21259259259259258,0.04777777777777778,0.16518518518518518,0.00037037037037037035,0.0224374998642894,4.964583905619269
4.0,count,252,2700,0.21259259259259258,0.05037037037037037,0.1622222222222222,0.0,0.0339250630674618,4.964583905619269
4.0,maxrun,50,2700,0.19962962962962963,0.043333333333333335,0.1562962962962963,0.0,0.0241548153439783,4.964583905619269
4.0,maxrun,252,2700,0.19962962962962963,0.0437037037037037,0.1559259259259259,0.0,0.029080145936473602,4.964583905619269
