scenario,n,annual_rejection_rate,native_rejection_rate,mechanistic_misattribution_rate,misattrib_ci_low,misattrib_ci_high,median_true_p_rmse_to_025,median_true_p_range,median_true_p_neff,median_annual_raw_offset,median_annual_clipped_offset,median_native_raw_offset,median_native_clipped_offset,median_annual_null_ceiling_fraction,median_native_null_ceiling_fraction,annual_ceiling_free_trajectory_fraction,native_ceiling_free_trajectory_fraction,median_runlen_obs,median_annual_null_runlen,median_native_null_runlen
absolute_lambda4,1350,0.2059259259259259,0.0474074074074074,0.1585185185185185,0.1400085551552181,0.1789663558338892,0.2976072282674339,0.7897184070772124,4.964583905619271,0.1261185717718831,0.0180781491919761,-0.0137685973726659,0.0,0.7248322147651006,0.436241610738255,0.0,0.0,1.1363636363636365,1.0869565217391304,1.1363636363636365
oracle_percentile,1350,0.0785185185185185,0.0429629629629629,0.0392592592592592,0.0301391247278338,0.0509940523550832,0.0,0.0,12.0,0.0274941389921699,0.0,-0.0062122380793194,0.0,0.7046979865771812,0.6040268456375839,0.0,0.0,1.1363636363636365,1.1363636363636365,1.1363636363636365
estimated_percentile_15y,1350,0.0822222222222222,0.0488888888888888,0.0385185185185185,0.0294935816864125,0.0501623175461554,0.1019214439640504,0.293688009797619,10.93287007203097,0.0303367107712374,0.0,-0.0095039953662896,0.0,0.7046979865771812,0.5973154362416108,0.0,0.0,1.1363636363636365,1.1363636363636365,1.1363636363636365
estimated_percentile_30y,1350,0.0755555555555555,0.0437037037037037,0.0348148148148148,0.0262814113622946,0.0459880986185283,0.0746603427771946,0.219925568722188,11.33865727600039,0.0337514616188989,0.0,-0.0064015594635143,0.0,0.7046979865771812,0.610738255033557,0.0,0.0,1.1363636363636365,1.1363636363636365,1.1363636363636365
estimated_percentile_60y,1350,0.0829629629629629,0.0474074074074074,0.04,0.0307856391812785,0.0518248157519874,0.0533223993934176,0.1583683333333333,11.628519308217683,0.0261199352253071,0.0,-0.0084275836912693,0.0,0.7046979865771812,0.610738255033557,0.0,0.0,1.1363636363636365,1.1363636363636365,1.1363636363636365
