tau,n,oracle_reject_rate,native_reject_rate,index_reject_rate,index_only_rate,native_only_rate,index_only_count,native_only_count,paired_exact_p,median_sd_ratio_index_oracle,median_sd_ratio_native_oracle,median_index_spectral_error,median_corr_soft_hard,median_nrmse_soft_hard,median_raw_unique_soft,median_null_mean_index_minus_oracle
0.1,180,0.03888888888888889,0.022222222222222223,0.044444444444444446,0.027777777777777776,0.005555555555555556,5,1,0.21875,0.8461547237027341,1.0031197541329537,0.00024993668285285,0.981648638935884,0.19290540570921044,251.0,0.008627642178473838
0.05,180,0.03333333333333333,0.022222222222222223,0.03333333333333333,0.016666666666666666,0.005555555555555556,3,1,0.625,0.7641456336849048,0.994144530228144,0.0004513059982625,0.9905255833540406,0.1383860569052007,251.0,0.015934607502611664
0.025,180,0.03888888888888889,0.027777777777777776,0.07777777777777778,0.05,0.0,9,0,0.00390625,0.6910446892872659,0.9752013606791075,0.00089087596536825,0.9953927861170339,0.096759448982871,251.0,0.029206635194447217
0.01,180,0.044444444444444446,0.03888888888888889,0.12222222222222222,0.08333333333333333,0.0,15,0,6.103515625e-05,0.583131694454045,0.9863679296172435,0.0019354520690865501,0.9983152608286379,0.0584374908784492,214.0,0.05107652521265382
0.005,180,0.044444444444444446,0.03888888888888889,0.12777777777777777,0.08888888888888889,0.0,16,0,3.0517578125e-05,0.5558954251567699,0.9803736627556764,0.0027141794842066,0.9991803353223939,0.0406299673845637,152.0,0.0595791322083411
0.002,180,0.044444444444444446,0.03888888888888889,0.15,0.1111111111111111,0.0,20,0,1.9073486328125e-06,0.5377905746590176,0.9796294729524495,0.00355652602882025,0.9996827119313267,0.02523619498651195,84.0,0.06406237880125654
0.001,180,0.044444444444444446,0.044444444444444446,0.15555555555555556,0.1111111111111111,0.0,20,0,1.9073486328125e-06,0.5381894404276129,0.9863000447666026,0.0037811858085628498,0.9998529716751808,0.01716926018432375,53.5,0.06944631388433281
0.0,180,0.03888888888888889,0.03888888888888889,0.16111111111111112,0.12777777777777777,0.005555555555555556,23,1,2.9802322387695312e-06,0.5322946944347628,0.9902815725063131,0.00423902026287635,1.0,0.0,8.0,0.06370287385001555
