condition,median_phase_resultant,q90_phase_resultant,mean_phase_resultant,median_spec_error,sd_theta,sd_ntv
mean,0.0682473039157793,0.12162483943414,0.0733591029773146,0.0001830967333908,0.082734830998031,0.0182938036789445
tau0.1,0.0692689395599651,0.1216180578279396,0.0726813783932358,0.0002447130898287,0.0760898620338074,0.0174314755823614
tau0.025,0.0688553612478766,0.122393699594987,0.0719225404908849,0.0007142019874506,0.0785958330107032,0.0184400502997691
tau0.01,0.0687851936552514,0.1232297794257869,0.0725614615538036,0.0013559462074244,0.0763226226747538,0.0184572695995805
tau0.001,0.0689281323120628,0.1216737780825938,0.0728466585752381,0.0024832504570032,0.0820322629784284,0.0191276360226191
hard,0.066509919512391,0.1220929475519767,0.0717478906711902,0.0026686219419489,0.0795596226879861,0.0196015034418589
