tau,null,mean_adj,sd_adj,mean_clusters,sd_clusters,mean_gap_sd,sd_theta,mean_theta
0.0,index,2.3434343434343434,1.3413464228807934,22.656565656565657,1.3413464228807936,8.585053592585941,0.0686500286602228,0.9723655300911198
0.0,native,2.8939393939393936,1.5281991878841685,22.106060606060606,1.5281991878841685,9.790225806819308,0.1318485334633891,0.9018738689454372
0.0,oracle,2.8838383838383836,1.5621066303279054,22.116161616161616,1.5621066303279054,9.946356068984297,0.1315510678105915,0.8916016404005356
0.001,index,2.393939393939394,1.3287001590731429,22.606060606060606,1.3287001590731429,8.591827263319468,0.06895144856856385,0.9706942630678534
0.001,native,2.8737373737373737,1.5278623949741186,22.126262626262626,1.5278623949741181,9.766987570638713,0.12908472651939074,0.9037331647689879
0.001,oracle,2.8737373737373737,1.5381493406037774,22.126262626262626,1.5381493406037774,9.924731261932159,0.13172239458879514,0.8944125811800078
0.01,index,2.4494949494949494,1.3238992445132274,22.550505050505052,1.3238992445132272,8.594662344169713,0.06200663819401235,0.9741757223102459
0.01,native,2.707070707070707,1.5102889881035941,22.29292929292929,1.5102889881035941,9.508877013226067,0.11845960321881355,0.9159932367941772
0.01,oracle,2.8181818181818183,1.5266778889435488,22.18181818181818,1.526677888943549,9.624912269915637,0.1206884222522566,0.9105762427670492
0.1,index,2.4696969696969697,1.3411820729753976,22.53030303030303,1.3411820729753976,8.595776438619064,0.06499027573690039,0.9711470011895103
0.1,native,2.4444444444444446,1.4543653591788113,22.55555555555556,1.4543653591788113,8.794062731549023,0.08100246584503636,0.9601384034238023
0.1,oracle,2.429292929292929,1.4296892405055508,22.570707070707066,1.4296892405055508,8.79278028492384,0.08191148181966565,0.9588399257250368
