branch,n_obs_days,missing_days,neff_realized,p_month_mean,pbar_equalized,native_spectral_error_median,index_spectral_error_median,obs_fs90,p_native_fs90,p_index_fs90,rej_native_fs90,rej_index_fs90,median_native_fs90,median_index_fs90,mean_native_fs90,mean_index_fs90,sd_native_fs90,sd_index_fs90,delta_native_fs90,delta_index_fs90,center_gap_fs90,width_ratio_fs90,obs_fs85,p_native_fs85,p_index_fs85,rej_native_fs85,rej_index_fs85,median_native_fs85,median_index_fs85,mean_native_fs85,mean_index_fs85,sd_native_fs85,sd_index_fs85,delta_native_fs85,delta_index_fs85,center_gap_fs85,width_ratio_fs85,obs_tdiff,p_native_tdiff,p_index_tdiff,rej_native_tdiff,rej_index_tdiff,median_native_tdiff,median_index_tdiff,mean_native_tdiff,mean_index_tdiff,sd_native_tdiff,sd_index_tdiff,delta_native_tdiff,delta_index_tdiff,center_gap_tdiff,width_ratio_tdiff,paired_outcome,exposure_sensitivity_defined,station_id,short_code,station_name,region,neff_frozen,obs_fs90_exposure,p_native_fs90_BY,p_index_fs90_BY,log_width_ratio
equalized,2881,38,11.996063671978204,0.1471327636541232,0.1457956526620532,0.0026010539341893,0.000385235236938,0.7704648761715764,0.618,0.11,False,False,0.7305408271474019,0.9413007666696788,0.7315966641521122,0.9100742730520032,0.1268485688611741,0.1004535898324549,-0.0399240490241745,0.1708358904981022,0.2107599395222767,0.7919174077745629,0.871972767061112,0.96,0.374,False,False,0.6565399510922344,0.9024127625911929,0.6606094230225987,0.8913794796956422,0.1190725754636818,0.0999721352577688,-0.2154328159688776,0.0304399955300807,0.2458728114989583,0.8395899296581547,1.7681522917120234,0.992,0.27,False,False,1.5804512542592577,1.7724575247168062,1.576480630343849,1.7704278337677537,0.0920094523176728,0.008460249750857,-0.1877010374527656,0.0043052330047828,0.1920062704575484,0.0919497892634659,neither,False,RIX/901,TE,Las Encinas Temuco,IX,4.566895004902395,,1.0,1.0,-0.2332981757184987
equalized,2910,9,11.99908693065845,0.2285173330697609,0.227374660032974,0.002231436697602,0.0001195170348423,0.5933427645030049,0.782,0.076,False,False,0.5194417988322498,0.7534991889059561,0.5223077960825148,0.7643771320307959,0.1035081002461375,0.1225350511344387,-0.0739009656707551,0.1601564244029512,0.2340573900737063,1.1838208878634116,0.882115877806661,1.0,0.9,False,False,0.4683065193629687,0.7364688894046053,0.4785194162237267,0.7309094374303046,0.0924371979201159,0.1133108449210755,-0.4138093584436922,-0.1456469884020557,0.2681623700416365,1.2258143633799603,1.5793437472969158,0.99,0.118,False,False,1.365187739647035,1.5867817810670286,1.3663787746001803,1.5855732062080017,0.08709822840898,0.0054497020787655,-0.2141560076498805,0.0074380337701127,0.2215940414199932,0.062569608800489,neither,True,RIX/902,PLCII,Padre Las Casas II,IX,5.407444812370239,0.5970077144860906,1.0,1.0,0.168747247875884
equalized,2917,2,11.998929597216751,0.080206797606282,0.0785058243727598,0.0022984902565011,0.0111102872259351,0.834665345744091,0.652,0.348,False,False,0.7864729616891573,0.8860981661925801,0.7859449171547926,0.8738441102549829,0.1245385284995286,0.1080563903646341,-0.0481923840549337,0.051432820448489,0.0996252045034228,0.8676543047884353,0.7968487328321756,0.776,0.276,False,False,0.7172814349197578,0.8659046810574824,0.7187721550250744,0.8612422311003818,0.1125523764531655,0.1020090856389969,-0.0795672979124177,0.0690559482253068,0.1486232461377246,0.9063254713368336,1.83060061532687,0.742,0.204,False,False,1.7673641012398162,1.848497445419412,1.7649531025892518,1.8459880591689204,0.0995780994733785,0.0202767289871062,-0.0632365140870536,0.0178968300925419,0.0811333441795956,0.2036263906857035,neither,True,RIX/905,TEII,Nielol Temuco,IX,3.98857720980786,0.834665345744091,1.0,1.0,-0.1419619100236725
equalized,2859,60,11.997145609993932,0.0678335984899192,0.0666222758244647,0.0012874821199689,0.0279511023466288,0.7931005265387642,0.212,0.17,False,False,0.915074585914598,0.9248026944868628,0.8870666113087045,0.8978782956674912,0.1119340471631355,0.1036275674880743,0.1219740593758338,0.1317021679480987,0.0097281085722649,0.925791304026057,0.7870321773184222,0.312,0.23,False,False,0.8435089128658292,0.8636017272034544,0.8343847621380449,0.8606240074804156,0.121022748776648,0.0964113646257072,0.0564767355474069,0.0765695498850321,0.0200928143376252,0.7966383642767629,1.7789235214396957,0.302,0.092,False,False,1.842003067978501,1.820280059629012,1.8351337411122213,1.820448771493629,0.10282758533401,0.0311495343230317,0.0630795465388056,0.0413565381893159,-0.0217230083494897,0.3029297461556634,neither,False,RM/D12,LF,La Florida,RM,3.883135290933782,,1.0,1.0,-0.0771064433583775
equalized,2884,35,11.98851049812034,0.072849185216945,0.0717434622824333,0.0012121440493897,0.0032537459977796,0.7795597858417609,0.346,0.684,False,False,0.8608452492722103,0.7143062048102438,0.8336769461478013,0.7228435440837115,0.1532194958672501,0.1251051809192991,0.0812854634304494,-0.0652535810315171,-0.1465390444619665,0.8165095454150942,0.5692350615241045,0.102,0.148,False,False,0.7793261015896028,0.6968654117256821,0.7729741960397084,0.6954579009185079,0.145318957783595,0.115334602807603,0.2100910400654982,0.1276303502015775,-0.0824606898639207,0.7936652214321228,1.6439066617709328,0.04,0.066,True,False,1.847168226757079,1.6665305067032703,1.845962426012208,1.6653834864469232,0.1063368273768378,0.0165101007190804,0.2032615649861462,0.0226238449323374,-0.1806377200538087,0.1552623030643143,neither,True,RM/D14,SA,Parque O'Higgins,RM,3.6469705215521393,0.7795597858417609,1.0,1.0,-0.2027166759907248
equalized,2867,52,11.99727901959679,0.1248857998469793,0.1253803113216025,0.001561362249763,0.0003656443989199,0.9083480010057832,0.508,0.314,False,False,0.9062192532753351,0.978082359046369,0.8753042507269252,0.9317516910485384,0.1264937371596767,0.0905103089742524,-0.002128747730448,0.0697343580405857,0.0718631057710337,0.7155319386286922,0.9128511966701351,0.598,0.46,False,False,0.8758503156774481,0.926237029716948,0.8644357646597431,0.9053115068364844,0.1122907887902802,0.0916691004649534,-0.0370008809926871,0.0133858330468126,0.0503867140394997,0.8163545866273885,1.821836130131638,0.646,0.458,False,False,1.7912166724557683,1.822309893149742,1.7910845877464678,1.8206832542579667,0.091028460082467,0.0086590038212742,-0.0306194576758698,0.0004737630181037,0.0310932206939735,0.0951241382467587,neither,False,RM/D15,PU,Pudahuel,RM,3.555237056152642,,1.0,1.0,-0.3347290427866488
equalized,2892,27,11.998806007670025,0.1542443954091061,0.1537303064703976,0.0013040236745774,0.0003907017397927,0.702991914194159,0.344,0.03,False,True,0.7726671224027746,0.966589740108904,0.7608769131343174,0.9315948135895072,0.1425987798871829,0.0906445507242721,0.0696752082086156,0.2635978259147449,0.1939226177061292,0.6356614747754848,0.7501400601521495,0.662,0.056,False,False,0.6978800206268263,0.9188644799179216,0.6913189616592923,0.9064270508049056,0.1377091276198574,0.0887687998582079,-0.0522600395253232,0.168724419765772,0.2209844592910952,0.6446108648894455,1.9218717210775784,0.974,0.516,False,False,1.7076869281071256,1.9215856655441024,1.7058777036401906,1.9202437913783488,0.1047717398939639,0.0087865250777013,-0.2141847929704528,-0.0002860555334762,0.2138987374369765,0.0838635025684771,index_only,True,RM/D18,CN,Cerro Navia,RM,3.942164611306127,0.7146679044645118,1.0,0.8988811276214312,-0.4530891297148271
equalized,2889,30,11.995731821543258,0.0885910371422998,0.0875318691906401,0.0011344034420371,0.0045049489909953,0.8785583072983011,0.314,0.286,False,False,0.9483727531523548,0.9456124793140288,0.91303792018252,0.9199270706311664,0.1025813730895875,0.0874667853659256,0.0698144458540538,0.0670541720157277,-0.0027602738383261,0.8526575803341738,0.7207916986933128,0.124,0.04,False,True,0.8636260842877219,0.9123116571244492,0.8510367015826452,0.8974448640901079,0.1156553912120462,0.0907203724271352,0.142834385594409,0.1915199584311362,0.0486855728367271,0.7844024517698865,1.7457650532612712,0.138,0.134,False,False,1.8549735771657625,1.761134068861535,1.8499059652185783,1.7602236412429708,0.0996771218642246,0.016746611481574,0.1092085239044913,0.0153690156002637,-0.0938395083042276,0.1680085777796161,neither,True,RM/D30,QU,Quilicura,RM,3.4919692630022205,0.875190340074266,1.0,1.0,-0.1593972419394183
equalized,2904,15,11.995509154675233,0.1111970288086516,0.1094676470136081,0.0016886303034311,0.0019337593768808,0.9315225056537704,0.916,0.768,False,False,0.7363577895413843,0.8357879345171696,0.7344550113462814,0.827631032591966,0.1382240865229081,0.1192745646587912,-0.195164716112386,-0.0957345711366007,0.0994301449757852,0.8629072375097436,0.7613978966439723,0.51,0.462,False,False,0.7588101949204361,0.7714980287438122,0.7606167256395325,0.7708392844651543,0.1202711960295071,0.1091919713665177,-0.0025877017235361,0.0101001320998399,0.0126878338233761,0.9078813129930784,1.5800000533378,0.09,0.082,False,False,1.7160138949897406,1.594400509679514,1.7145214321979174,1.5936410693922232,0.1009632329845534,0.0111887181084656,0.1360138416519405,0.0144004563417139,-0.1216133853102265,0.1108197289024744,neither,True,RVI/609,RGAI,Rancagua I,VI,3.55253997936404,0.9315225056537704,1.0,1.0,-0.1474480820772253
equalized,2902,17,11.997842577841508,0.1002890194622106,0.0990479457952238,0.0014577160774985,0.005032359106448,0.8384538496895588,0.566,0.502,False,False,0.8154186833697131,0.8381292460184876,0.8110161894396589,0.8359682346090964,0.1249724742651181,0.1133457721148769,-0.0230351663198457,-0.0003246036710712,0.0227105626487744,0.9069658961414409,0.6592693039872741,0.15,0.098,False,False,0.7958750762909924,0.8141451546060987,0.7947939611705914,0.8135028703705062,0.126017913023667,0.1163726964357472,0.1366057723037183,0.1548758506188245,0.0182700783151062,0.9234615432322764,1.741875134848005,0.518,0.082,False,False,1.7345052401557897,1.763336608100959,1.7352859879468483,1.762477036251194,0.0988219039081911,0.015647088355509,-0.0073698946922153,0.0214614732529538,0.0288313679451692,0.1583362365700376,neither,False,RVI/611,RNG,Rengo,VI,3.3975485931008214,,1.0,1.0,-0.0976504303000105
