station_id,short_code,station_name,region,defined,obs_fs90_exposure,p_native_fs90_exposure,p_index_fs90_exposure,rej_native_fs90_exposure,rej_index_fs90_exposure,median_native_fs90_exposure,median_index_fs90_exposure,mean_native_fs90_exposure,mean_index_fs90_exposure,sd_native_fs90_exposure,sd_index_fs90_exposure,delta_native_fs90_exposure,delta_index_fs90_exposure,center_gap_fs90_exposure,width_ratio_fs90_exposure,paired_outcome
RIX/901,TE,Las Encinas Temuco,IX,False,,,,,,,,,,,,,,,,
RIX/902,PLCII,Padre Las Casas II,IX,True,0.5586910960056705,0.89,0.002,False,True,0.460582340707128,0.9765136756798878,0.4520171365148674,0.934329583409313,0.0861512787349968,0.0869908577247354,-0.0981087552985424,0.4178225796742173,0.5159313349727598,1.0097454036906433,index_only
RIX/905,TEII,Nielol Temuco,IX,True,0.4828797993389682,0.3,0.002,False,True,0.5101311653116531,1.0,0.4985185034213036,0.9843260921190532,0.0586965759054893,0.0424161796500803,0.0272513659726849,0.5171202006610318,0.4898688346883468,0.7226346510974735,index_only
RM/D12,LF,La Florida,RM,False,,,,,,,,,,,,,,,,
RM/D14,SA,Parque O'Higgins,RM,True,0.4972623195619711,0.154,0.002,False,True,0.5760350381643049,0.9312499086644552,0.5672587512467756,0.9095383826225468,0.0732717019147469,0.0988101660000851,0.0787727186023337,0.433987589102484,0.3552148705001502,1.3485447098670005,index_only
RM/D15,PU,Pudahuel,RM,False,,,,,,,,,,,,,,,,
RM/D18,CN,Cerro Navia,RM,True,0.488196706876816,0.412,0.002,False,True,0.4999053618040241,1.0,0.4865432675030432,0.9396041782415564,0.0715987012459779,0.0894598971159362,0.011708654927208,0.511803293123184,0.5000946381959759,1.2494625678836644,index_only
RM/D30,QU,Quilicura,RM,True,0.5104303030573812,0.24,0.004,False,True,0.5485729112610275,0.9706592138271792,0.5442417833381272,0.9328530025466636,0.0647441528165152,0.0857936902792438,0.0381426082036462,0.4602289107697981,0.4220863025661518,1.3251187411839584,index_only
RVI/609,RGAI,Rancagua I,VI,True,0.5287124722949829,0.524,0.002,False,True,0.5261112269242351,1.0,0.5204434532750769,0.9512934385375602,0.0628217697085667,0.0748881413341143,-0.0026012453707477,0.4712875277050171,0.4738887730757649,1.1920730931574028,index_only
RVI/611,RNG,Rengo,VI,False,,,,,,,,,,,,,,,,
RVI/615,RGAII,Rancagua II,VI,True,0.4783612533634233,0.61,0.002,False,True,0.4631537557043529,0.9888855534709192,0.4498461752865559,0.938692833985056,0.0730981272299413,0.0818905726316331,-0.0152074976590704,0.5105243001074959,0.5257317977665664,1.120282772416764,index_only
