branch,n_stations,index_reject_count,native_reject_count,index_only_count,native_only_count,both_count,neither_count,region_signflip_observed_difference,region_signflip_one_sided_p,spearman_neff_log_width_ratio,cluster_bootstrap_95_lo,cluster_bootstrap_95_hi,median_width_ratio_fs90,median_center_gap_fs90,median_native_spectral_error,median_index_spectral_error,BY_native_discoveries,BY_index_discoveries,region_differences_json
equalized,31,6,1,5,0,1,25,5,0.0625,-0.1459677419354839,-0.5211741140935687,0.2114502315444816,0.7809609211017039,0.0969133835725886,0.0022887019994235,0.0014550343496808,0,0,"[[""IX"", 0], [""RM"", 1], [""VI"", 0], [""VII"", 0], [""VIII"", 2], [""X"", 1], [""XI"", 1], [""XIV"", 0]]"
fixed,31,31,2,29,0,2,0,29,0.00390625,-0.3790322580645161,-0.624353287321471,0.1360235601526574,1.1203481974450695,0.4223702589448802,0.0022627300184684,0.0026630967920773,0,27,"[[""IX"", 3], [""RM"", 4], [""VI"", 3], [""VII"", 2], [""VIII"", 10], [""X"", 3], [""XI"", 3], [""XIV"", 1]]"
