lambda_value,Neff,feature,phi,n,median_target_spectral_distance,median_same_wass_scaled,median_fiber_wass_scaled,median_distance_ratio,median_fiber_minus_same,fraction_fiber_distance_gt_same,sign_test_p,median_same_ks,median_fiber_ks,fraction_fiber_KS_p_lt_005,fraction_same_KS_p_lt_005,median_abs_p_same,median_abs_p_fiber,reject_discord_same,reject_discord_fiber,max_indicator_mismatches,max_annual_count_abs,max_month_multiset_abs,median_specerr_x,median_specerr_xtilde
0.0,12.000000000000002,ferro_segers,0.2,30,0.32052006373688574,0.08257580959743893,0.14553509404010165,1.9266871664607457,0.082100948952569,0.7333333333333333,0.008062400855123998,0.05220883534136546,0.10040160642570281,0.3,0.03333333333333333,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0002235211519940957,0.00022334526950091628
0.0,12.000000000000002,lag1,0.2,30,0.32052006373688574,0.10728337886854318,0.42326819406939087,3.6681691577396602,0.30549827823388187,0.8666666666666667,2.9738061130046848e-05,0.0783132530120482,0.20682730923694778,0.7666666666666667,0.1,,,,,0,0.0,0.0,0.0002235211519940957,0.00022334526950091628
0.0,12.000000000000002,tdiff_raw,0.2,30,0.32052006373688574,0.12371264766242354,1.211048216484663,10.857650151831807,1.1195216489053192,1.0,9.313225746154785e-10,0.08433734939759036,0.5682730923694779,1.0,0.03333333333333333,,,,,0,0.0,0.0,0.0002235211519940957,0.00022334526950091628
0.0,12.000000000000002,lowfreq_cubic,0.2,30,0.32052006373688574,0.0988235383307775,0.47740637830763477,4.839631407633096,0.3862921146459928,0.9,4.215165972709656e-06,0.06827309236947791,0.21485943775100402,0.7666666666666667,0.03333333333333333,,,,,0,0.0,0.0,0.0002235211519940957,0.00022334526950091628
4.0,4.96458390561927,ferro_segers,0.2,30,0.39901545417887896,0.1002031902974071,0.31076869373564553,2.9670410766361663,0.20204735479859343,0.8666666666666667,2.9738061130046848e-05,0.05622489959839357,0.1566265060240964,0.6333333333333333,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0,0.0,0.0,0.00022406307147759534,0.0002217480654072756
4.0,4.96458390561927,lag1,0.2,30,0.39901545417887896,0.11709247173632345,0.309540054890872,2.445707250814504,0.17034058252347944,0.8,0.0007154531776905061,0.06827309236947791,0.14056224899598393,0.5333333333333333,0.0,,,,,0,0.0,0.0,0.00022406307147759534,0.0002217480654072756
4.0,4.96458390561927,tdiff_raw,0.2,30,0.39901545417887896,0.10461531954418404,1.3894993788589072,12.588416372625831,1.2300733398788646,1.0,9.313225746154785e-10,0.07630522088353414,0.6746987951807228,1.0,0.1,,,,,0,0.0,0.0,0.00022406307147759534,0.0002217480654072756
4.0,4.96458390561927,lowfreq_cubic,0.2,30,0.39901545417887896,0.08878211347347312,0.31628645914022074,3.292240621305462,0.21921060092882289,0.9,4.215165972709656e-06,0.0642570281124498,0.1686746987951807,0.6333333333333333,0.0,,,,,0,0.0,0.0,0.00022406307147759534,0.0002217480654072756
0.0,12.000000000000002,ferro_segers,0.5,30,0.34913974888893595,0.08884641238586477,0.18581689247067382,1.644784967715995,0.06225861792852216,0.7,0.021386972628533847,0.05823293172690763,0.0963855421686747,0.23333333333333334,0.06666666666666667,0.0,0.0,0.03333333333333333,0.03333333333333333,0,0.0,0.0,0.00022817479363026487,0.00022117489989036387
0.0,12.000000000000002,lag1,0.5,30,0.34913974888893595,0.10047624769303981,0.40979755410439345,3.336524333905552,0.28695880728985523,0.9,4.215165972709656e-06,0.06827309236947791,0.19879518072289157,0.6333333333333333,0.0,,,,,0,0.0,0.0,0.00022817479363026487,0.00022117489989036387
0.0,12.000000000000002,tdiff_raw,0.5,30,0.34913974888893595,0.1021114519657477,1.8121346921305288,17.307315097056488,1.6932617179579106,1.0,9.313225746154785e-10,0.06827309236947791,0.9759036144578314,1.0,0.03333333333333333,,,,,0,0.0,0.0,0.00022817479363026487,0.00022117489989036387
0.0,12.000000000000002,lowfreq_cubic,0.5,30,0.34913974888893595,0.10958016970965057,0.6266846350448165,5.1668513702399235,0.5086628249097771,1.0,9.313225746154785e-10,0.07630522088353414,0.3012048192771084,0.8666666666666667,0.03333333333333333,,,,,0,0.0,0.0,0.00022817479363026487,0.00022117489989036387
4.0,4.96458390561927,ferro_segers,0.5,30,0.4732136333796567,0.09433423185270981,0.422683550852998,4.52680477487047,0.33027764918927177,0.9666666666666667,2.8870999813079834e-08,0.06827309236947791,0.21285140562248997,0.8333333333333334,0.0,0.013999999999999999,0.07800000000000001,0.0,0.03333333333333333,0,0.0,0.0,0.00022955603972089667,0.00022195769150528934
4.0,4.96458390561927,lag1,0.5,30,0.4732136333796567,0.1070984171382468,0.29010626905034104,2.8671142039229087,0.18577266839826878,0.8333333333333334,0.00016245711594820025,0.07228915662650602,0.14859437751004018,0.5666666666666667,0.06666666666666667,,,,,0,0.0,0.0,0.00022955603972089667,0.00022195769150528934
4.0,4.96458390561927,tdiff_raw,0.5,30,0.4732136333796567,0.11662180093339261,1.8672450607417999,15.73180511496231,1.7480033133069208,1.0,9.313225746154785e-10,0.08433734939759036,0.9959839357429718,1.0,0.03333333333333333,,,,,0,0.0,0.0,0.00022955603972089667,0.00022195769150528934
4.0,4.96458390561927,lowfreq_cubic,0.5,30,0.4732136333796567,0.10006750011752683,0.342364590723747,3.3439569142877352,0.25106295555542235,0.9,4.215165972709656e-06,0.07228915662650602,0.16265060240963858,0.6666666666666666,0.0,,,,,0,0.0,0.0,0.00022955603972089667,0.00022195769150528934
0.0,12.000000000000002,ferro_segers,0.8,30,0.41966645748286585,0.08569534508733975,0.17787749947200607,2.1610061369348976,0.09819691511304951,0.7666666666666667,0.0026114396750926976,0.060240963855421686,0.0963855421686747,0.36666666666666664,0.0,0.0,0.0,0.0,0.03333333333333333,0,0.0,0.0,0.00024375024091726193,0.00022229362113575343
0.0,12.000000000000002,lag1,0.8,30,0.41966645748286585,0.11141818072801105,1.2441520164116788,9.729784150473012,1.1205452866707653,1.0,9.313225746154785e-10,0.07028112449799197,0.5843373493975903,0.9666666666666667,0.06666666666666667,,,,,0,0.0,0.0,0.00024375024091726193,0.00022229362113575343
