phi,rep,lambda_value,Neff,feature,obs_feature,indicator_mismatches,annual_count_max_abs,month_multiset_max_abs,native_target_spectral_distance,same_wass,same_wass_scaled,same_ks,same_ks_p,same_mean_diff,same_sd_ratio,fiber_wass,fiber_wass_scaled,fiber_ks,fiber_ks_p,fiber_mean_diff,fiber_sd_ratio,distance_ratio,p_xA,p_xB,p_xtilde,abs_p_same,abs_p_fiber,rej_xA,rej_xB,rej_xtilde,median_specerr_xA,median_specerr_xB,median_specerr_xtilde
0.2,0,0.0,12.000000000000002,ferro_segers,1.0,0,0.0,0.0,0.31479835899572256,0.008879598238924487,0.08644118010873482,0.05622489959839357,0.8271830307385587,-0.0018722152548866777,0.9696335268807034,0.014958028742097843,0.140261934066042,0.11646586345381527,0.06820366751163658,-0.01453212305738849,1.0399582554715212,1.622628634750291,1.0,1.0,1.0,0.0,0.0,False,False,False,0.00021388423192725086,0.00021123006790775082,0.0002091787751641055
0.2,0,0.0,12.000000000000002,lag1,0.018279174410248664,0,0.0,0.0,0.31479835899572256,0.0058339609532971695,0.10559678658935753,0.09236947791164658,0.23888908541520107,-0.00014120793352941433,1.0097068956883875,0.034633197206056614,0.5990812594097009,0.2570281124497992,1.2330429214007485e-07,0.034633197206056614,1.006196385494125,5.673290625209925,,,,,,False,False,False,0.00021388423192725086,0.00021123006790775082,0.0002091787751641055
0.2,0,0.0,12.000000000000002,tdiff_raw,6.272,0,0.0,0.0,0.31479835899572256,0.054024096385542134,0.09111054337714485,0.07630522088353414,0.46395181593171897,0.01916465863453798,1.0053994507652455,0.9649638554216868,1.3222857677737652,0.6305220883534136,9.729839762866052e-47,-0.9649638554216864,0.843948161325731,14.512983006810243,,,,,,False,False,False,0.00021388423192725086,0.00021123006790775082,0.0002091787751641055
0.2,0,0.0,12.000000000000002,lowfreq_cubic,0.09459013401438934,0,0.0,0.0,0.31479835899572256,0.0018042519646158976,0.08114631242411487,0.060240963855421686,0.7580212891445754,-0.0016602892406174657,1.0343499342209173,0.023234212182345268,0.9480948217417916,0.40963855421686746,4.463620551285804e-19,-0.023234212182345268,0.9751810743904242,11.683769642993997,,,,,,False,False,False,0.00021388423192725086,0.00021123006790775082,0.0002091787751641055
0.2,0,4.0,4.96458390561927,ferro_segers,0.9025499843798813,0,0.0,0.0,0.392780760587054,0.01435545574153825,0.11069223501115884,0.05220883534136546,0.8874650165235428,0.014224244160227606,0.8685634964120225,0.019591504687116824,0.15139294882710927,0.10843373493975904,0.10703865187580967,-0.00280940686421971,0.8671310144974564,1.3676925830601039,0.308,0.272,0.368,0.035999999999999976,0.06,False,False,False,0.00021102352988909578,0.00021057189106315618,0.00021206362840761486
0.2,0,4.0,4.96458390561927,lag1,0.0350054293055722,0,0.0,0.0,0.392780760587054,0.00541158104306273,0.09097510067027001,0.0642570281124498,0.6838841078891891,-0.0016183760845778564,1.062146300301254,0.03481153198553636,0.5635207951721617,0.23293172690763053,2.4634697418511695e-06,-0.034811531985536354,1.0550070978102848,6.194231070043871,,,,,,False,False,False,0.00021102352988909578,0.00021057189106315618,0.00021206362840761486
0.2,0,4.0,4.96458390561927,tdiff_raw,2.784,0,0.0,0.0,0.392780760587054,0.013622489959839352,0.045832867798800164,0.028112449799196786,0.9999742289695194,0.005847389558232496,1.014301837512803,0.5303132530120482,1.3705034401419909,0.678714859437751,6.970084504298261e-55,-0.5303132530120482,0.9060276051505743,29.902196959576653,,,,,,False,False,False,0.00021102352988909578,0.00021057189106315618,0.00021206362840761486
0.2,0,4.0,4.96458390561927,lowfreq_cubic,0.13918876024668764,0,0.0,0.0,0.392780760587054,0.002810544083442299,0.11233938193357634,0.08032128514056225,0.39861895108977546,0.0004173022744856786,0.9850184264654336,0.009510904146361914,0.37601495514993283,0.1927710843373494,0.0001842653749138924,-0.009510904146361895,0.9709369969850635,3.347133914020093,,,,,,False,False,False,0.00021102352988909578,0.00021057189106315618,0.00021206362840761486
0.2,1,0.0,12.000000000000002,ferro_segers,1.0,0,0.0,0.0,0.32268257034939213,0.0044456053536216945,0.049230505137945024,0.03614457831325301,0.9969611680609808,0.003922234015899306,0.9335885266363033,0.028481328694627654,0.27210155587119,0.1646586345381526,0.0022997062504635296,-0.028481328694627606,1.212091211717254,5.527092503088269,1.0,1.0,1.0,0.0,0.0,False,False,False,0.0002176247662706302,0.00021772271446827323,0.00021619795643571237
0.2,1,0.0,12.000000000000002,lag1,-0.041731092911847664,0,0.0,0.0,0.32268257034939213,0.006916067235990322,0.11910300378344552,0.08433734939759036,0.3391499834431502,-0.0020640230290041497,1.0335517082433219,0.03738005891649954,0.6384417723846417,0.30120481927710846,2.2739219552891948e-10,-0.03738005891649954,0.9426214818744519,5.360417051659408,,,,,,False,False,False,0.0002176247662706302,0.00021772271446827323,0.00021619795643571237
0.2,1,0.0,12.000000000000002,tdiff_raw,5.308,0,0.0,0.0,0.32268257034939213,0.0524016064257028,0.09524333600185729,0.09236947791164658,0.23888908541520107,0.027534136546185195,1.0094491457698405,0.5093012048192771,0.8995092344804315,0.37751004016064255,3.4225246403591607e-16,-0.509301204819276,0.8401786842463739,9.444327259419822,,,,,,False,False,False,0.0002176247662706302,0.00021772271446827323,0.00021619795643571237
0.2,1,0.0,12.000000000000002,lowfreq_cubic,0.06956115574800892,0,0.0,0.0,0.32268257034939213,0.003579366177806646,0.19069337105147985,0.09236947791164658,0.23888908541520107,-0.0032351398521766744,0.8824010232730448,0.010480278539159043,0.49278729788813747,0.24899598393574296,3.4619642209278214e-07,0.010480278539159033,1.0772753560471267,2.5841868292060415,,,,,,False,False,False,0.0002176247662706302,0.00021772271446827323,0.00021619795643571237
0.2,1,4.0,4.96458390561927,ferro_segers,1.0,0,0.0,0.0,0.413026536715328,0.010414871184753805,0.10342476763187143,0.060240963855421686,0.7580212891445754,-0.009988617106057696,1.1896184865423074,0.02816435386943123,0.27496608508979004,0.1566265060240964,0.004391396207776164,-0.02816435386943128,1.2072889904342994,2.6586096482082273,1.0,1.0,1.0,0.0,0.0,False,False,False,0.0002180656390849503,0.00021870232769947114,0.00021755603582782336
0.2,1,4.0,4.96458390561927,lag1,-0.007430771222705046,0,0.0,0.0,0.413026536715328,0.011443411296605949,0.19102949909352032,0.0963855421686747,0.19790442185864274,-0.011361791604856605,1.015929975423688,0.010726728056927723,0.17821829695097674,0.10843373493975904,0.10703865187580967,-0.010632335545542878,1.0266232507486184,0.9329360009666744,,,,,,False,False,False,0.0002180656390849503,0.00021870232769947114,0.00021755603582782336
